,acc
124,"[0.19047619047619047, 0.16666666666666666, 0.17363530778164923, 0.16492450638792103, 0.1173054587688734, 0.21544715447154472]"
125,"[0.19047619047619047, 0.16666666666666666, 0.17363530778164923, 0.16492450638792103, 0.11788617886178862, 0.21544715447154472]"
126,"[0.19047619047619047, 0.16666666666666666, 0.17363530778164923, 0.16492450638792103, 0.11672473867595819, 0.21544715447154472]"
127,"[0.18815331010452963, 0.16666666666666666, 0.17363530778164923, 0.16434378629500582, 0.1173054587688734, 0.21544715447154472]"
128,"[0.18815331010452963, 0.16666666666666666, 0.17363530778164923, 0.16318234610917537, 0.1173054587688734, 0.21544715447154472]"
129,"[0.18815331010452963, 0.16666666666666666, 0.17363530778164923, 0.16318234610917537, 0.11788617886178862, 0.21544715447154472]"
130,"[0.18815331010452963, 0.16666666666666666, 0.17363530778164923, 0.16260162601626016, 0.11904761904761904, 0.21544715447154472]"
131,"[0.18815331010452963, 0.16666666666666666, 0.17363530778164923, 0.16260162601626016, 0.11904761904761904, 0.21544715447154472]"
132,"[0.18931475029036005, 0.16666666666666666, 0.17363530778164923, 0.16260162601626016, 0.11904761904761904, 0.21544715447154472]"
133,"[0.18931475029036005, 0.16666666666666666, 0.17363530778164923, 0.16318234610917537, 0.11904761904761904, 0.21544715447154472]"
134,"[0.18931475029036005, 0.16666666666666666, 0.17363530778164923, 0.16318234610917537, 0.11904761904761904, 0.21544715447154472]"
135,"[0.18931475029036005, 0.16666666666666666, 0.17363530778164923, 0.16318234610917537, 0.11904761904761904, 0.21544715447154472]"
136,"[0.18931475029036005, 0.16666666666666666, 0.17363530778164923, 0.16318234610917537, 0.11904761904761904, 0.21544715447154472]"
137,"[0.18931475029036005, 0.16666666666666666, 0.17363530778164923, 0.16318234610917537, 0.11904761904761904, 0.21544715447154472]"
138,"[0.18931475029036005, 0.16666666666666666, 0.17363530778164923, 0.16318234610917537, 0.11904761904761904, 0.21544715447154472]"
139,"[0.18931475029036005, 0.16666666666666666, 0.17363530778164923, 0.16318234610917537, 0.11904761904761904, 0.21544715447154472]"
140,"[0.18931475029036005, 0.16666666666666666, 0.17363530778164923, 0.16318234610917537, 0.11904761904761904, 0.21544715447154472]"
141,"[0.18931475029036005, 0.16666666666666666, 0.17363530778164923, 0.16318234610917537, 0.11904761904761904, 0.21544715447154472]"
142,"[0.18931475029036005, 0.16666666666666666, 0.17363530778164923, 0.16434378629500582, 0.11904761904761904, 0.21544715447154472]"
143,"[0.18931475029036005, 0.16666666666666666, 0.17363530778164923, 0.16666666666666666, 0.11904761904761904, 0.21544715447154472]"
144,"[0.18931475029036005, 0.16666666666666666, 0.17363530778164923, 0.1678281068524971, 0.11904761904761904, 0.21544715447154472]"
145,"[0.18815331010452963, 0.16666666666666666, 0.17363530778164923, 0.1678281068524971, 0.11904761904761904, 0.21544715447154472]"
146,"[0.18873403019744484, 0.16666666666666666, 0.17363530778164923, 0.1678281068524971, 0.11904761904761904, 0.21544715447154472]"
147,"[0.18873403019744484, 0.16666666666666666, 0.17421602787456447, 0.16840882694541232, 0.11904761904761904, 0.21544715447154472]"
148,"[0.18873403019744484, 0.16666666666666666, 0.17363530778164923, 0.16840882694541232, 0.11904761904761904, 0.21544715447154472]"
149,"[0.18873403019744484, 0.16666666666666666, 0.17421602787456447, 0.16840882694541232, 0.11904761904761904, 0.21544715447154472]"
150,"[0.18873403019744484, 0.16666666666666666, 0.17479674796747968, 0.17247386759581881, 0.11904761904761904, 0.21544715447154472]"
151,"[0.18873403019744484, 0.16666666666666666, 0.1753774680603949, 0.17247386759581881, 0.11904761904761904, 0.21544715447154472]"
152,"[0.18931475029036005, 0.16666666666666666, 0.1753774680603949, 0.17711962833914052, 0.11904761904761904, 0.21544715447154472]"
153,"[0.18931475029036005, 0.16666666666666666, 0.1753774680603949, 0.1806039488966318, 0.11904761904761904, 0.21602787456445993]"
154,"[0.19047619047619047, 0.16666666666666666, 0.1759581881533101, 0.1840882694541231, 0.11904761904761904, 0.21602787456445993]"
155,"[0.1916376306620209, 0.16666666666666666, 0.17770034843205576, 0.19047619047619047, 0.11904761904761904, 0.21602787456445993]"
156,"[0.19047619047619047, 0.16666666666666666, 0.17828106852497097, 0.18815331010452963, 0.11904761904761904, 0.21660859465737514]"
157,"[0.19047619047619047, 0.16666666666666666, 0.17828106852497097, 0.1916376306620209, 0.11904761904761904, 0.21660859465737514]"
158,"[0.19047619047619047, 0.16666666666666666, 0.19744483159117304, 0.19396051103368175, 0.11904761904761904, 0.21718931475029035]"
159,"[0.1916376306620209, 0.16666666666666666, 0.2073170731707317, 0.19221835075493612, 0.11904761904761904, 0.21718931475029035]"
160,"[0.1916376306620209, 0.16666666666666666, 0.22531939605110338, 0.19628339140534262, 0.11904761904761904, 0.21718931475029035]"
161,"[0.1916376306620209, 0.17073170731707318, 0.21718931475029035, 0.20615563298490128, 0.11904761904761904, 0.21660859465737514]"
162,"[0.1916376306620209, 0.17073170731707318, 0.218931475029036, 0.21428571428571427, 0.11904761904761904, 0.21718931475029035]"
163,"[0.1916376306620209, 0.17073170731707318, 0.24332171893147503, 0.21370499419279906, 0.11904761904761904, 0.21718931475029035]"
164,"[0.19279907084785133, 0.17073170731707318, 0.26306620209059234, 0.2148664343786295, 0.11904761904761904, 0.21370499419279906]"
165,"[0.19279907084785133, 0.17073170731707318, 0.2897793263646922, 0.22067363530778164, 0.11846689895470383, 0.2183507549361208]"
166,"[0.19279907084785133, 0.17073170731707318, 0.30255516840882696, 0.22822299651567945, 0.11846689895470383, 0.2346109175377468]"
167,"[0.19279907084785133, 0.16666666666666666, 0.30952380952380953, 0.22531939605110338, 0.11846689895470383, 0.2415795586527294]"
168,"[0.19279907084785133, 0.16666666666666666, 0.30952380952380953, 0.22357723577235772, 0.11904761904761904, 0.24854819976771197]"
169,"[0.19279907084785133, 0.16666666666666666, 0.30952380952380953, 0.2259001161440186, 0.11904761904761904, 0.259581881533101]"
170,"[0.19279907084785133, 0.16666666666666666, 0.30952380952380953, 0.23286875725900116, 0.11904761904761904, 0.26480836236933797]"
171,"[0.19279907084785133, 0.16666666666666666, 0.30952380952380953, 0.2346109175377468, 0.11962833914053426, 0.27293844367015097]"
172,"[0.19279907084785133, 0.17073170731707318, 0.30952380952380953, 0.2346109175377468, 0.11962833914053426, 0.2653890824622532]"
173,"[0.19279907084785133, 0.17073170731707318, 0.30952380952380953, 0.23228803716608595, 0.11962833914053426, 0.2601626016260163]"
174,"[0.19279907084785133, 0.16666666666666666, 0.30952380952380953, 0.23403019744483158, 0.12020905923344948, 0.25493612078977934]"
175,"[0.1916376306620209, 0.16666666666666666, 0.30952380952380953, 0.2311265969802555, 0.11962833914053426, 0.26248548199767713]"
176,"[0.1916376306620209, 0.21544715447154472, 0.30952380952380953, 0.22822299651567945, 0.11904761904761904, 0.2619047619047619]"
177,"[0.1916376306620209, 0.23983739837398374, 0.30952380952380953, 0.23228803716608595, 0.11846689895470383, 0.2502903600464576]"
178,"[0.19047619047619047, 0.2601626016260163, 0.30952380952380953, 0.22764227642276422, 0.11904761904761904, 0.2421602787456446]"
179,"[0.19047619047619047, 0.26422764227642276, 0.30952380952380953, 0.21254355400696864, 0.11265969802555169, 0.23809523809523808]"
180,"[0.19047619047619047, 0.23983739837398374, 0.30952380952380953, 0.21544715447154472, 0.11672473867595819, 0.2415795586527294]"
181,"[0.19047619047619047, 0.21544715447154472, 0.30952380952380953, 0.21022067363530778, 0.11440185830429733, 0.23809523809523808]"
182,"[0.19047619047619047, 0.21544715447154472, 0.30952380952380953, 0.2073170731707317, 0.11382113821138211, 0.23809523809523808]"
183,"[0.19047619047619047, 0.1910569105691057, 0.30952380952380953, 0.20034843205574912, 0.11788617886178862, 0.23809523809523808]"
184,"[0.19047619047619047, 0.1910569105691057, 0.30952380952380953, 0.1910569105691057, 0.11846689895470383, 0.23809523809523808]"
185,"[0.19047619047619047, 0.1910569105691057, 0.30952380952380953, 0.19337979094076654, 0.1254355400696864, 0.23809523809523808]"
186,"[0.19047619047619047, 0.1910569105691057, 0.30952380952380953, 0.20615563298490128, 0.1254355400696864, 0.23809523809523808]"
187,"[0.18815331010452963, 0.1910569105691057, 0.30952380952380953, 0.20963995354239257, 0.12601626016260162, 0.23809523809523808]"
188,"[0.18815331010452963, 0.1910569105691057, 0.30952380952380953, 0.20905923344947736, 0.12601626016260162, 0.23809523809523808]"
189,"[0.18815331010452963, 0.1910569105691057, 0.30952380952380953, 0.20905923344947736, 0.12601626016260162, 0.23809523809523808]"
190,"[0.18815331010452963, 0.1910569105691057, 0.30952380952380953, 0.20847851335656215, 0.12659698025551683, 0.23809523809523808]"
191,"[0.18815331010452963, 0.1910569105691057, 0.30952380952380953, 0.20441347270615565, 0.12369337979094076, 0.23809523809523808]"
192,"[0.18815331010452963, 0.16666666666666666, 0.30952380952380953, 0.18931475029036005, 0.1207897793263647, 0.23809523809523808]"
193,"[0.18815331010452963, 0.16666666666666666, 0.30952380952380953, 0.18641114982578397, 0.12659698025551683, 0.23809523809523808]"
194,"[0.18815331010452963, 0.16666666666666666, 0.30952380952380953, 0.18292682926829268, 0.12717770034843207, 0.23809523809523808]"
195,"[0.18815331010452963, 0.16666666666666666, 0.30952380952380953, 0.18176538908246226, 0.12717770034843207, 0.23809523809523808]"
196,"[0.18815331010452963, 0.16666666666666666, 0.30952380952380953, 0.17711962833914052, 0.12253193960511034, 0.23809523809523808]"
197,"[0.18815331010452963, 0.16666666666666666, 0.30952380952380953, 0.17711962833914052, 0.1173054587688734, 0.23809523809523808]"
198,"[0.18815331010452963, 0.16666666666666666, 0.30952380952380953, 0.17711962833914052, 0.11556329849012775, 0.23809523809523808]"
199,"[0.18815331010452963, 0.16666666666666666, 0.30952380952380953, 0.1765389082462253, 0.11149825783972125, 0.23809523809523808]"
200,"[0.19047619047619047, 0.16666666666666666, 0.30952380952380953, 0.17711962833914052, 0.1132404181184669, 0.23809523809523808]"
201,"[0.19047619047619047, 0.16666666666666666, 0.30952380952380953, 0.17711962833914052, 0.11556329849012775, 0.23809523809523808]"
202,"[0.19047619047619047, 0.16666666666666666, 0.30952380952380953, 0.1753774680603949, 0.11556329849012775, 0.23809523809523808]"
203,"[0.18815331010452963, 0.16666666666666666, 0.30952380952380953, 0.17479674796747968, 0.11265969802555169, 0.23809523809523808]"
204,"[0.20209059233449478, 0.16666666666666666, 0.30952380952380953, 0.17363530778164923, 0.1173054587688734, 0.23809523809523808]"
205,"[0.23809523809523808, 0.16666666666666666, 0.30952380952380953, 0.17363530778164923, 0.11788617886178862, 0.23809523809523808]"
206,"[0.27177700348432055, 0.16666666666666666, 0.30952380952380953, 0.17363530778164923, 0.11788617886178862, 0.23809523809523808]"
207,"[0.2874564459930314, 0.16666666666666666, 0.30952380952380953, 0.17479674796747968, 0.11788617886178862, 0.23809523809523808]"
208,"[0.29152148664343785, 0.16666666666666666, 0.30952380952380953, 0.17479674796747968, 0.11788617886178862, 0.23809523809523808]"
209,"[0.289198606271777, 0.16666666666666666, 0.30952380952380953, 0.1753774680603949, 0.11265969802555169, 0.23809523809523808]"
210,"[0.27932636469221833, 0.16666666666666666, 0.30952380952380953, 0.17828106852497097, 0.11556329849012775, 0.23809523809523808]"
211,"[0.28222996515679444, 0.16666666666666666, 0.30952380952380953, 0.18292682926829268, 0.11672473867595819, 0.23809523809523808]"
212,"[0.2735191637630662, 0.16666666666666666, 0.30952380952380953, 0.18583042973286876, 0.1173054587688734, 0.23809523809523808]"
213,"[0.2607433217189315, 0.16666666666666666, 0.30952380952380953, 0.18815331010452963, 0.1173054587688734, 0.23809523809523808]"
214,"[0.2607433217189315, 0.16666666666666666, 0.30952380952380953, 0.18699186991869918, 0.11846689895470383, 0.23809523809523808]"
215,"[0.2607433217189315, 0.16666666666666666, 0.30952380952380953, 0.19337979094076654, 0.11440185830429733, 0.23809523809523808]"
