,acc
141,"[0.23751451800232287, 0.16666666666666666, 0.30255516840882696, 0.07723577235772358, 0.12195121951219512, 0.23867595818815332]"
142,"[0.23925667828106853, 0.16666666666666666, 0.30313588850174217, 0.07723577235772358, 0.1207897793263647, 0.23809523809523808]"
143,"[0.24041811846689895, 0.16666666666666666, 0.3042973286875726, 0.07781649245063879, 0.1207897793263647, 0.23809523809523808]"
144,"[0.24041811846689895, 0.17073170731707318, 0.3037166085946574, 0.07781649245063879, 0.1207897793263647, 0.23809523809523808]"
145,"[0.24041811846689895, 0.17073170731707318, 0.3037166085946574, 0.07781649245063879, 0.1207897793263647, 0.23809523809523808]"
146,"[0.2415795586527294, 0.17073170731707318, 0.3037166085946574, 0.07723577235772358, 0.1207897793263647, 0.23809523809523808]"
147,"[0.24274099883855982, 0.17073170731707318, 0.3042973286875726, 0.07781649245063879, 0.12137049941927991, 0.23809523809523808]"
148,"[0.2415795586527294, 0.17073170731707318, 0.3037166085946574, 0.07897793263646923, 0.1207897793263647, 0.23751451800232287]"
149,"[0.24041811846689895, 0.17073170731707318, 0.3037166085946574, 0.07955865272938444, 0.1207897793263647, 0.23751451800232287]"
150,"[0.24041811846689895, 0.17073170731707318, 0.30255516840882696, 0.08013937282229965, 0.12020905923344948, 0.23751451800232287]"
151,"[0.24041811846689895, 0.17479674796747968, 0.30313588850174217, 0.08072009291521487, 0.12020905923344948, 0.23751451800232287]"
152,"[0.2415795586527294, 0.17479674796747968, 0.30255516840882696, 0.08246225319396051, 0.1207897793263647, 0.23751451800232287]"
153,"[0.24332171893147503, 0.17479674796747968, 0.30139372822299654, 0.08246225319396051, 0.1207897793263647, 0.23751451800232287]"
154,"[0.24332171893147503, 0.17479674796747968, 0.30023228803716606, 0.08072009291521487, 0.1207897793263647, 0.23809523809523808]"
155,"[0.24390243902439024, 0.17479674796747968, 0.30139372822299654, 0.08130081300813008, 0.12253193960511034, 0.23809523809523808]"
156,"[0.24738675958188153, 0.17479674796747968, 0.3008130081300813, 0.08188153310104529, 0.1248548199767712, 0.23751451800232287]"
157,"[0.24738675958188153, 0.17479674796747968, 0.3037166085946574, 0.08246225319396051, 0.12427409988385599, 0.23693379790940766]"
158,"[0.24332171893147503, 0.18292682926829268, 0.2938443670150987, 0.08246225319396051, 0.12601626016260162, 0.23693379790940766]"
159,"[0.24274099883855982, 0.18699186991869918, 0.27990708478513354, 0.08246225319396051, 0.13066202090592335, 0.23693379790940766]"
160,"[0.2456445993031359, 0.18699186991869918, 0.2450638792102207, 0.08304297328687572, 0.13182346109175377, 0.23751451800232287]"
161,"[0.24390243902439024, 0.18699186991869918, 0.23228803716608595, 0.08304297328687572, 0.13995354239256677, 0.2346109175377468]"
162,"[0.2462253193960511, 0.18699186991869918, 0.22473867595818817, 0.08536585365853659, 0.14169570267131243, 0.2346109175377468]"
163,"[0.24796747967479674, 0.18699186991869918, 0.2183507549361208, 0.08304297328687572, 0.14227642276422764, 0.2346109175377468]"
164,"[0.24854819976771197, 0.1910569105691057, 0.20615563298490128, 0.08304297328687572, 0.13646922183507548, 0.23519163763066203]"
165,"[0.2508710801393728, 0.1910569105691057, 0.20267131242741, 0.08304297328687572, 0.13937282229965156, 0.2346109175377468]"
166,"[0.2508710801393728, 0.1910569105691057, 0.20092915214866433, 0.0859465737514518, 0.140534262485482, 0.23577235772357724]"
167,"[0.2537746806039489, 0.1991869918699187, 0.194541231126597, 0.09233449477351917, 0.13821138211382114, 0.2346109175377468]"
168,"[0.25609756097560976, 0.21138211382113822, 0.19396051103368175, 0.09581881533101046, 0.13530778164924506, 0.23344947735191637]"
