,acc
113,"[0.2938443670150987, 0.991869918699187, 0.359465737514518, 0.2259001161440186, 0.2346109175377468, 0.148664343786295]"
114,"[0.2938443670150987, 0.991869918699187, 0.359465737514518, 0.2264808362369338, 0.23403019744483158, 0.14692218350754935]"
115,"[0.2775842044134727, 0.991869918699187, 0.3606271777003484, 0.2264808362369338, 0.23228803716608595, 0.14692218350754935]"
116,"[0.27526132404181186, 0.991869918699187, 0.3617886178861789, 0.22822299651567945, 0.23170731707317074, 0.14692218350754935]"
117,"[0.2601626016260163, 0.991869918699187, 0.3588850174216028, 0.22996515679442509, 0.23170731707317074, 0.14518002322880372]"
118,"[0.2607433217189315, 0.991869918699187, 0.3588850174216028, 0.23170731707317074, 0.2305458768873403, 0.14576074332171893]"
119,"[0.2613240418118467, 0.991869918699187, 0.35830429732868757, 0.23286875725900116, 0.2224157955865273, 0.14576074332171893]"
120,"[0.2607433217189315, 0.991869918699187, 0.35830429732868757, 0.23344947735191637, 0.2229965156794425, 0.14576074332171893]"
121,"[0.2607433217189315, 0.991869918699187, 0.3588850174216028, 0.2346109175377468, 0.23228803716608595, 0.14692218350754935]"
122,"[0.2804878048780488, 0.991869918699187, 0.3600464576074332, 0.23403019744483158, 0.24448315911730545, 0.148664343786295]"
123,"[0.29732868757259, 0.991869918699187, 0.3600464576074332, 0.23403019744483158, 0.24680603948896632, 0.15098722415795587]"
124,"[0.31068524970963995, 0.991869918699187, 0.359465737514518, 0.23344947735191637, 0.23170731707317074, 0.16608594657375145]"
125,"[0.3141695702671312, 0.991869918699187, 0.359465737514518, 0.23344947735191637, 0.23170731707317074, 0.16666666666666666]"
126,"[0.3159117305458769, 0.991869918699187, 0.3600464576074332, 0.23344947735191637, 0.23170731707317074, 0.1672473867595819]"
127,"[0.3164924506387921, 0.991869918699187, 0.3606271777003484, 0.23403019744483158, 0.2218350754936121, 0.1672473867595819]"
128,"[0.31939605110336816, 0.991869918699187, 0.3606271777003484, 0.2346109175377468, 0.22067363530778164, 0.1672473867595819]"
129,"[0.3344947735191638, 0.991869918699187, 0.3606271777003484, 0.2346109175377468, 0.22067363530778164, 0.1672473867595819]"
130,"[0.3344947735191638, 0.991869918699187, 0.3606271777003484, 0.23519163763066203, 0.2183507549361208, 0.1672473867595819]"
131,"[0.335075493612079, 0.991869918699187, 0.3617886178861789, 0.2346109175377468, 0.21777003484320556, 0.16666666666666666]"
132,"[0.3327526132404181, 0.991869918699187, 0.3617886178861789, 0.2346109175377468, 0.21718931475029035, 0.1672473867595819]"
133,"[0.3327526132404181, 0.991869918699187, 0.3617886178861789, 0.23286875725900116, 0.21777003484320556, 0.1672473867595819]"
134,"[0.3315911730545877, 0.991869918699187, 0.3629500580720093, 0.23228803716608595, 0.21777003484320556, 0.16840882694541232]"
135,"[0.3310104529616725, 0.991869918699187, 0.3623693379790941, 0.23286875725900116, 0.21777003484320556, 0.16957026713124274]"
136,"[0.3310104529616725, 0.991869918699187, 0.3623693379790941, 0.23286875725900116, 0.21777003484320556, 0.16957026713124274]"
137,"[0.3315911730545877, 0.991869918699187, 0.36469221835075494, 0.23344947735191637, 0.2183507549361208, 0.18641114982578397]"
138,"[0.3164924506387921, 0.991869918699187, 0.36643437862950057, 0.23228803716608595, 0.21777003484320556, 0.18757259001161442]"
139,"[0.313588850174216, 0.991869918699187, 0.39372822299651566, 0.23344947735191637, 0.21777003484320556, 0.18757259001161442]"
140,"[0.2979094076655052, 0.991869918699187, 0.3948896631823461, 0.23286875725900116, 0.21777003484320556, 0.18699186991869918]"
