,acc
126,"[0.4465737514518002, 0.9796747967479674, 0.3786295005807201, 0.23344947735191637, 0.23635307781649245, 0.16666666666666666]"
127,"[0.44831591173054586, 0.9796747967479674, 0.3780487804878049, 0.23519163763066203, 0.23519163763066203, 0.16666666666666666]"
128,"[0.4523809523809524, 0.9796747967479674, 0.3803716608594657, 0.23693379790940766, 0.23577235772357724, 0.16898954703832753]"
129,"[0.45121951219512196, 0.9796747967479674, 0.3803716608594657, 0.23693379790940766, 0.2346109175377468, 0.16898954703832753]"
130,"[0.4523809523809524, 0.9796747967479674, 0.38153310104529614, 0.23867595818815332, 0.2346109175377468, 0.16957026713124274]"
131,"[0.4523809523809524, 0.9796747967479674, 0.3832752613240418, 0.2450638792102207, 0.23519163763066203, 0.16957026713124274]"
132,"[0.45934959349593496, 0.9796747967479674, 0.38443670150987225, 0.24912891986062718, 0.2346109175377468, 0.16898954703832753]"
133,"[0.45934959349593496, 0.9796747967479674, 0.38501742160278746, 0.2508710801393728, 0.23519163763066203, 0.17015098722415795]"
134,"[0.462253193960511, 0.9796747967479674, 0.3873403019744483, 0.25609756097560976, 0.2346109175377468, 0.17247386759581881]"
135,"[0.46747967479674796, 0.9796747967479674, 0.3879210220673635, 0.259581881533101, 0.23403019744483158, 0.1718931475029036]"
136,"[0.46689895470383275, 0.975609756097561, 0.3885017421602787, 0.2601626016260163, 0.23403019744483158, 0.1713124274099884]"
137,"[0.46806039488966317, 0.975609756097561, 0.3885017421602787, 0.26364692218350755, 0.2346109175377468, 0.1713124274099884]"
138,"[0.4657375145180023, 0.975609756097561, 0.3885017421602787, 0.2665505226480836, 0.23577235772357724, 0.17247386759581881]"
139,"[0.4645760743321719, 0.975609756097561, 0.389082462253194, 0.2682926829268293, 0.23577235772357724, 0.17363530778164923]"
140,"[0.4628339140534262, 0.975609756097561, 0.3896631823461092, 0.2688734030197445, 0.23577235772357724, 0.17363530778164923]"
141,"[0.46980255516840885, 0.975609756097561, 0.3902439024390244, 0.27119628339140534, 0.23577235772357724, 0.1718931475029036]"
142,"[0.47038327526132406, 0.975609756097561, 0.3914053426248548, 0.2735191637630662, 0.23809523809523808, 0.17247386759581881]"
143,"[0.4721254355400697, 0.975609756097561, 0.39198606271777003, 0.2775842044134727, 0.24041811846689895, 0.17363530778164923]"
144,"[0.47619047619047616, 0.975609756097561, 0.39372822299651566, 0.28222996515679444, 0.2421602787456446, 0.17015098722415795]"
145,"[0.4796747967479675, 0.975609756097561, 0.39314750290360045, 0.2845528455284553, 0.24274099883855982, 0.16957026713124274]"
146,"[0.4814169570267131, 0.975609756097561, 0.39372822299651566, 0.2874564459930314, 0.2421602787456446, 0.16957026713124274]"
147,"[0.48606271777003485, 0.975609756097561, 0.3943089430894309, 0.29036004645760743, 0.2415795586527294, 0.16957026713124274]"
148,"[0.49419279907084784, 0.975609756097561, 0.397212543554007, 0.2967479674796748, 0.24390243902439024, 0.16840882694541232]"
149,"[0.49361207897793263, 0.975609756097561, 0.4024390243902439, 0.2979094076655052, 0.2450638792102207, 0.16840882694541232]"
150,"[0.4965156794425087, 0.975609756097561, 0.40360046457607435, 0.30313588850174217, 0.24390243902439024, 0.16898954703832753]"
151,"[0.49825783972125437, 0.975609756097561, 0.40476190476190477, 0.3048780487804878, 0.24390243902439024, 0.1678281068524971]"
152,"[0.5023228803716608, 0.9796747967479674, 0.4070847851335656, 0.3042973286875726, 0.2450638792102207, 0.1678281068524971]"
153,"[0.5069686411149826, 0.975609756097561, 0.4105691056910569, 0.3089430894308943, 0.24796747967479674, 0.1672473867595819]"
154,"[0.5098722415795587, 0.975609756097561, 0.41927990708478513, 0.31068524970963995, 0.24738675958188153, 0.16666666666666666]"
155,"[0.5168408826945412, 0.9796747967479674, 0.4169570267131243, 0.3159117305458769, 0.24796747967479674, 0.16608594657375145]"
156,"[0.5168408826945412, 0.9796747967479674, 0.4349593495934959, 0.3170731707317073, 0.24738675958188153, 0.16608594657375145]"
157,"[0.5249709639953543, 0.9796747967479674, 0.429732868757259, 0.3234610917537747, 0.24912891986062718, 0.16492450638792103]"
158,"[0.5278745644599303, 0.9796747967479674, 0.4343786295005807, 0.3240418118466899, 0.24912891986062718, 0.16492450638792103]"
159,"[0.5238095238095238, 0.9796747967479674, 0.44715447154471544, 0.32926829268292684, 0.2497096399535424, 0.16376306620209058]"
160,"[0.5331010452961672, 0.975609756097561, 0.4419279907084785, 0.3321718931475029, 0.25261324041811845, 0.16492450638792103]"
161,"[0.5354239256678281, 0.975609756097561, 0.4518002322880372, 0.33681765389082463, 0.25203252032520324, 0.16376306620209058]"
162,"[0.5400696864111498, 0.975609756097561, 0.4605110336817654, 0.34146341463414637, 0.2508710801393728, 0.16260162601626016]"
163,"[0.5464576074332171, 0.975609756097561, 0.4634146341463415, 0.343205574912892, 0.25261324041811845, 0.15969802555168408]"
164,"[0.5470383275261324, 0.975609756097561, 0.46980255516840885, 0.34727061556329847, 0.25261324041811845, 0.15911730545876887]"
165,"[0.5481997677119629, 0.975609756097561, 0.47560975609756095, 0.3501742160278746, 0.25319396051103366, 0.1562137049941928]"
166,"[0.5470383275261324, 0.975609756097561, 0.47735191637630664, 0.3612078977932636, 0.251451800232288, 0.156794425087108]"
167,"[0.5476190476190477, 0.975609756097561, 0.4802555168408827, 0.35772357723577236, 0.25203252032520324, 0.1562137049941928]"
168,"[0.554006968641115, 0.975609756097561, 0.48722415795586527, 0.3588850174216028, 0.2502903600464576, 0.15040650406504066]"
169,"[0.5574912891986062, 0.975609756097561, 0.4895470383275261, 0.3617886178861789, 0.24796747967479674, 0.15040650406504066]"
170,"[0.5545876887340302, 0.983739837398374, 0.49535423925667826, 0.3612078977932636, 0.24796747967479674, 0.14634146341463414]"
171,"[0.556910569105691, 0.983739837398374, 0.5005807200929152, 0.36585365853658536, 0.24796747967479674, 0.1445993031358885]"
172,"[0.562137049941928, 0.983739837398374, 0.5005807200929152, 0.3681765389082462, 0.24680603948896632, 0.14518002322880372]"
173,"[0.562137049941928, 0.983739837398374, 0.508130081300813, 0.3704994192799071, 0.24738675958188153, 0.140534262485482]"
174,"[0.5638792102206737, 0.983739837398374, 0.508130081300813, 0.3722415795586527, 0.24738675958188153, 0.13995354239256677]"
175,"[0.5667828106852497, 0.983739837398374, 0.5133565621370499, 0.37572590011614404, 0.24390243902439024, 0.13763066202090593]"
176,"[0.5685249709639953, 0.983739837398374, 0.516260162601626, 0.3786295005807201, 0.24274099883855982, 0.13588850174216027]"
177,"[0.570267131242741, 0.983739837398374, 0.516260162601626, 0.3861788617886179, 0.24041811846689895, 0.13240418118466898]"
178,"[0.5685249709639953, 0.983739837398374, 0.521486643437863, 0.38501742160278746, 0.23809523809523808, 0.12659698025551683]"
179,"[0.5737514518002322, 0.983739837398374, 0.5180023228803716, 0.39314750290360045, 0.23403019744483158, 0.1295005807200929]"
180,"[0.5725900116144018, 0.983739837398374, 0.5307781649245064, 0.39314750290360045, 0.23344947735191637, 0.12601626016260162]"
181,"[0.575493612078978, 0.9796747967479674, 0.5331010452961672, 0.40069686411149824, 0.227061556329849, 0.1295005807200929]"
182,"[0.578397212543554, 0.9796747967479674, 0.5365853658536586, 0.4024390243902439, 0.22764227642276422, 0.12601626016260162]"
183,"[0.5842044134727061, 0.9796747967479674, 0.5429732868757259, 0.4099883855981417, 0.2264808362369338, 0.12601626016260162]"
184,"[0.5842044134727061, 0.9796747967479674, 0.5412311265969802, 0.4152148664343786, 0.22473867595818817, 0.12659698025551683]"
185,"[0.5836236933797909, 0.9796747967479674, 0.5435540069686411, 0.4152148664343786, 0.2229965156794425, 0.12833914053426249]"
186,"[0.5836236933797909, 0.983739837398374, 0.5493612078977933, 0.42334494773519166, 0.22473867595818817, 0.12775842044134728]"
187,"[0.5842044134727061, 0.983739837398374, 0.5534262485481998, 0.4256678281068525, 0.2259001161440186, 0.12833914053426249]"
188,"[0.5830429732868757, 0.983739837398374, 0.5586527293844367, 0.43031358885017423, 0.22357723577235772, 0.1295005807200929]"
189,"[0.586527293844367, 0.983739837398374, 0.5598141695702671, 0.4349593495934959, 0.2224157955865273, 0.13008130081300814]"
190,"[0.591753774680604, 0.983739837398374, 0.5650406504065041, 0.437862950058072, 0.2218350754936121, 0.13124274099883856]"
191,"[0.5940766550522648, 0.983739837398374, 0.5656213704994193, 0.4413472706155633, 0.218931475029036, 0.13066202090592335]"
192,"[0.5975609756097561, 0.9878048780487805, 0.570267131242741, 0.4436701509872242, 0.21718931475029035, 0.12833914053426249]"
193,"[0.5981416957026713, 0.9878048780487805, 0.5714285714285714, 0.44773519163763065, 0.22067363530778164, 0.12833914053426249]"
194,"[0.5969802555168409, 0.9878048780487805, 0.5760743321718932, 0.4529616724738676, 0.21777003484320556, 0.12775842044134728]"
195,"[0.5998838559814169, 0.983739837398374, 0.5778164924506388, 0.4570267131242741, 0.21777003484320556, 0.12833914053426249]"
196,"[0.5993031358885017, 0.983739837398374, 0.5813008130081301, 0.4610917537746806, 0.21777003484320556, 0.12833914053426249]"
197,"[0.6004645760743321, 0.983739837398374, 0.5830429732868757, 0.4634146341463415, 0.21544715447154472, 0.1289198606271777]"
198,"[0.6004645760743321, 0.983739837398374, 0.5824622531939605, 0.4727061556329849, 0.21544715447154472, 0.13008130081300814]"
199,"[0.6022067363530779, 0.983739837398374, 0.5929152148664344, 0.47851335656213706, 0.21196283391405343, 0.13066202090592335]"
200,"[0.6004645760743321, 0.983739837398374, 0.5853658536585366, 0.4895470383275261, 0.21196283391405343, 0.13414634146341464]"
201,"[0.6045296167247387, 0.9878048780487805, 0.5963995354239257, 0.491869918699187, 0.20847851335656215, 0.13588850174216027]"
