,acc
150,"[0.18815331010452963, 0.9878048780487805, 0.4245063879210221, 0.25667828106852497, 0.2590011614401858, 0.14634146341463414]"
151,"[0.19047619047619047, 0.991869918699187, 0.4256678281068525, 0.25667828106852497, 0.23983739837398374, 0.14576074332171893]"
152,"[0.18815331010452963, 0.991869918699187, 0.42799070847851334, 0.25667828106852497, 0.23751451800232287, 0.12833914053426249]"
153,"[0.18815331010452963, 0.991869918699187, 0.42857142857142855, 0.25667828106852497, 0.23751451800232287, 0.12717770034843207]"
154,"[0.18815331010452963, 0.991869918699187, 0.43031358885017423, 0.25667828106852497, 0.23751451800232287, 0.1248548199767712]"
155,"[0.18815331010452963, 0.991869918699187, 0.44831591173054586, 0.24041811846689895, 0.23751451800232287, 0.10452961672473868]"
156,"[0.1916376306620209, 0.991869918699187, 0.44831591173054586, 0.23809523809523808, 0.23751451800232287, 0.10278745644599303]"
157,"[0.23577235772357724, 0.991869918699187, 0.44831591173054586, 0.21777003484320556, 0.22357723577235772, 0.10104529616724739]"
158,"[0.2584204413472706, 0.991869918699187, 0.44831591173054586, 0.2038327526132404, 0.2218350754936121, 0.10046457607433217]"
159,"[0.2619047619047619, 0.991869918699187, 0.44831591173054586, 0.2183507549361208, 0.22009291521486643, 0.10046457607433217]"
160,"[0.27990708478513354, 0.991869918699187, 0.44831591173054586, 0.21777003484320556, 0.22009291521486643, 0.09930313588850175]"
161,"[0.27990708478513354, 0.991869918699187, 0.44889663182346107, 0.2183507549361208, 0.21951219512195122, 0.09930313588850175]"
162,"[0.281068524970964, 0.991869918699187, 0.45005807200929154, 0.21777003484320556, 0.218931475029036, 0.09930313588850175]"
163,"[0.28339140534262486, 0.991869918699187, 0.45063879210220675, 0.21718931475029035, 0.22009291521486643, 0.09872241579558652]"
164,"[0.2845528455284553, 0.991869918699187, 0.46806039488966317, 0.21718931475029035, 0.22009291521486643, 0.09872241579558652]"
165,"[0.2845528455284553, 0.991869918699187, 0.46806039488966317, 0.21544715447154472, 0.22125435540069685, 0.09814169570267131]"
166,"[0.2857142857142857, 0.991869918699187, 0.4692218350754936, 0.2148664343786295, 0.23519163763066203, 0.09814169570267131]"
167,"[0.2868757259001161, 0.991869918699187, 0.4692218350754936, 0.21428571428571427, 0.23519163763066203, 0.0975609756097561]"
168,"[0.2868757259001161, 0.991869918699187, 0.4692218350754936, 0.21428571428571427, 0.23519163763066203, 0.0975609756097561]"
169,"[0.2868757259001161, 0.991869918699187, 0.4692218350754936, 0.23286875725900116, 0.23577235772357724, 0.09698025551684088]"
170,"[0.2868757259001161, 0.991869918699187, 0.4692218350754936, 0.23403019744483158, 0.23577235772357724, 0.09698025551684088]"
171,"[0.2868757259001161, 0.991869918699187, 0.4686411149825784, 0.23403019744483158, 0.23577235772357724, 0.09698025551684088]"
172,"[0.2868757259001161, 0.991869918699187, 0.4686411149825784, 0.23403019744483158, 0.23577235772357724, 0.09698025551684088]"
173,"[0.2880371660859466, 0.991869918699187, 0.4686411149825784, 0.2346109175377468, 0.23577235772357724, 0.09698025551684088]"
174,"[0.2880371660859466, 0.991869918699187, 0.4686411149825784, 0.2346109175377468, 0.23577235772357724, 0.09639953542392567]"
175,"[0.2880371660859466, 0.991869918699187, 0.46806039488966317, 0.2346109175377468, 0.2346109175377468, 0.09581881533101046]"
176,"[0.289198606271777, 0.991869918699187, 0.46806039488966317, 0.23403019744483158, 0.2346109175377468, 0.09523809523809523]"
177,"[0.32171893147502906, 0.991869918699187, 0.46806039488966317, 0.23403019744483158, 0.2346109175377468, 0.09465737514518002]"
178,"[0.3228803716608595, 0.991869918699187, 0.46806039488966317, 0.21602787456445993, 0.2346109175377468, 0.07607433217189315]"
179,"[0.3228803716608595, 0.991869918699187, 0.4686411149825784, 0.2148664343786295, 0.23286875725900116, 0.0743321718931475]"
180,"[0.3228803716608595, 0.991869918699187, 0.4692218350754936, 0.2148664343786295, 0.23228803716608595, 0.0743321718931475]"
181,"[0.3246225319396051, 0.991869918699187, 0.4843205574912892, 0.23286875725900116, 0.24796747967479674, 0.07375145180023229]"
182,"[0.3252032520325203, 0.991869918699187, 0.4849012775842044, 0.23344947735191637, 0.2502903600464576, 0.07375145180023229]"
183,"[0.32636469221835074, 0.991869918699187, 0.4849012775842044, 0.23403019744483158, 0.251451800232288, 0.07375145180023229]"
184,"[0.32636469221835074, 0.991869918699187, 0.46747967479674796, 0.23403019744483158, 0.25203252032520324, 0.07375145180023229]"
185,"[0.32752613240418116, 0.991869918699187, 0.46747967479674796, 0.23228803716608595, 0.25203252032520324, 0.07317073170731707]"
186,"[0.3315911730545877, 0.991869918699187, 0.46689895470383275, 0.23286875725900116, 0.25203252032520324, 0.07375145180023229]"
187,"[0.34959349593495936, 0.991869918699187, 0.46631823461091754, 0.23286875725900116, 0.25203252032520324, 0.07375145180023229]"
188,"[0.351335656213705, 0.991869918699187, 0.4657375145180023, 0.23344947735191637, 0.251451800232288, 0.07375145180023229]"
189,"[0.35365853658536583, 0.991869918699187, 0.4657375145180023, 0.23344947735191637, 0.2502903600464576, 0.07375145180023229]"
190,"[0.3710801393728223, 0.991869918699187, 0.4657375145180023, 0.23344947735191637, 0.2502903600464576, 0.07375145180023229]"
191,"[0.3710801393728223, 0.991869918699187, 0.4651567944250871, 0.23403019744483158, 0.24912891986062718, 0.07375145180023229]"
192,"[0.3710801393728223, 0.991869918699187, 0.4645760743321719, 0.23403019744483158, 0.24796747967479674, 0.0743321718931475]"
193,"[0.37746806039488967, 0.991869918699187, 0.44831591173054586, 0.2346109175377468, 0.24680603948896632, 0.0743321718931475]"
194,"[0.39314750290360045, 0.991869918699187, 0.44773519163763065, 0.2346109175377468, 0.23170731707317074, 0.0743321718931475]"
195,"[0.39314750290360045, 0.991869918699187, 0.44773519163763065, 0.2346109175377468, 0.23170731707317074, 0.0743321718931475]"
196,"[0.39314750290360045, 0.991869918699187, 0.44773519163763065, 0.23519163763066203, 0.23170731707317074, 0.0743321718931475]"
197,"[0.39198606271777003, 0.991869918699187, 0.44773519163763065, 0.2346109175377468, 0.23170731707317074, 0.07491289198606271]"
198,"[0.39198606271777003, 0.991869918699187, 0.44773519163763065, 0.23693379790940766, 0.23170731707317074, 0.07491289198606271]"
199,"[0.39314750290360045, 0.991869918699187, 0.44773519163763065, 0.23809523809523808, 0.23170731707317074, 0.07491289198606271]"
200,"[0.39314750290360045, 0.991869918699187, 0.44773519163763065, 0.23809523809523808, 0.23170731707317074, 0.07491289198606271]"
201,"[0.413472706155633, 0.991869918699187, 0.44773519163763065, 0.23983739837398374, 0.23170731707317074, 0.0743321718931475]"
202,"[0.4326364692218351, 0.991869918699187, 0.44773519163763065, 0.23925667828106853, 0.23170731707317074, 0.07491289198606271]"
203,"[0.4332171893147503, 0.991869918699187, 0.44773519163763065, 0.27177700348432055, 0.24796747967479674, 0.07491289198606271]"
204,"[0.4332171893147503, 0.991869918699187, 0.44773519163763065, 0.2764227642276423, 0.24912891986062718, 0.07491289198606271]"
205,"[0.4332171893147503, 0.991869918699187, 0.44773519163763065, 0.27468060394889665, 0.2497096399535424, 0.07607433217189315]"
206,"[0.4349593495934959, 0.991869918699187, 0.44889663182346107, 0.27526132404181186, 0.2502903600464576, 0.07665505226480836]"
207,"[0.4372822299651568, 0.991869918699187, 0.44889663182346107, 0.259581881533101, 0.2502903600464576, 0.07665505226480836]"
208,"[0.4372822299651568, 0.991869918699187, 0.44831591173054586, 0.259581881533101, 0.2502903600464576, 0.07665505226480836]"
209,"[0.4372822299651568, 0.991869918699187, 0.44831591173054586, 0.259581881533101, 0.2508710801393728, 0.07723577235772358]"
210,"[0.4372822299651568, 0.991869918699187, 0.44831591173054586, 0.2601626016260163, 0.2508710801393728, 0.07723577235772358]"
211,"[0.4372822299651568, 0.991869918699187, 0.44831591173054586, 0.259581881533101, 0.2508710801393728, 0.07723577235772358]"
212,"[0.4372822299651568, 0.991869918699187, 0.44831591173054586, 0.2601626016260163, 0.2508710801393728, 0.07723577235772358]"
213,"[0.44018583042973286, 0.991869918699187, 0.44831591173054586, 0.2590011614401858, 0.2508710801393728, 0.07781649245063879]"
214,"[0.43960511033681765, 0.991869918699187, 0.44831591173054586, 0.259581881533101, 0.2508710801393728, 0.078397212543554]"
215,"[0.47619047619047616, 0.991869918699187, 0.45063879210220675, 0.2590011614401858, 0.2502903600464576, 0.07897793263646923]"
216,"[0.47677119628339143, 0.991869918699187, 0.45121951219512196, 0.2584204413472706, 0.2497096399535424, 0.08072009291521487]"
217,"[0.47735191637630664, 0.991869918699187, 0.4657375145180023, 0.2572590011614402, 0.2497096399535424, 0.08188153310104529]"
218,"[0.47851335656213706, 0.991869918699187, 0.46806039488966317, 0.2584204413472706, 0.2572590011614402, 0.09930313588850175]"
219,"[0.47851335656213706, 0.991869918699187, 0.4686411149825784, 0.2735191637630662, 0.2578397212543554, 0.08478513356562137]"
