Type,min_length,max_length,Run1,Run2,Similarity
RNN-RNN,10,10,9,25,0.6105424513863887
RNN-RNN,10,10,9,26,0.6857720021628502
RNN-RNN,10,10,9,27,0.5759777667993349
RNN-RNN,10,10,9,28,0.1860603093240656
RNN-RNN,10,10,9,29,0.7216362390896799
RNN-RNN,10,10,9,30,0.4469911104959169
RNN-RNN,10,10,10,0,0.6061265060152855
RNN-RNN,10,10,10,1,0.48184856336969395
RNN-RNN,10,10,10,2,0.7200114591654411
RNN-RNN,10,10,10,3,0.7467968648375807
RNN-RNN,10,10,10,4,0.5456233072544228
RNN-RNN,10,10,10,5,0.5769453424698078
RNN-RNN,10,10,10,6,0.5305444126334702
RNN-RNN,10,10,10,7,0.6747466914837676
RNN-RNN,10,10,10,8,0.6718970711417033
RNN-RNN,10,10,10,9,0.748195958073038
RNN-RNN,10,10,10,11,0.47729115086632534
RNN-RNN,10,10,10,12,0.5885094611987186
RNN-RNN,10,10,10,13,0.30943014937751306
RNN-RNN,10,10,10,14,0.6562832621713801
RNN-RNN,10,10,10,15,0.6497877422511913
RNN-RNN,10,10,10,16,0.6540139324586165
RNN-RNN,10,10,10,17,0.7167733115838193
RNN-RNN,10,10,10,18,0.6850724654870005
RNN-RNN,10,10,10,19,0.5034718802644865
RNN-RNN,10,10,10,20,0.7859059382467755
RNN-RNN,10,10,10,21,0.7281435684489318
RNN-RNN,10,10,10,22,0.5577313286578403
RNN-RNN,10,10,10,23,0.5965101718914829
RNN-RNN,10,10,10,24,0.7120971402250533
RNN-RNN,10,10,10,25,0.7245057243806361
RNN-RNN,10,10,10,26,0.7731171180793137
RNN-RNN,10,10,10,27,0.7612348998129552
RNN-RNN,10,10,10,28,0.23435219337038804
RNN-RNN,10,10,10,29,0.7542878810048819
RNN-RNN,10,10,10,30,0.6256162326492065
RNN-RNN,10,10,11,0,0.4258908460337047
RNN-RNN,10,10,11,1,0.45945543882384726
RNN-RNN,10,10,11,2,0.29868243981555653
RNN-RNN,10,10,11,3,0.6756045176585375
RNN-RNN,10,10,11,4,0.6503708080404675
RNN-RNN,10,10,11,5,0.30337907251096113
RNN-RNN,10,10,11,6,0.5924567900076378
RNN-RNN,10,10,11,7,0.5885715204894699
RNN-RNN,10,10,11,8,0.7158336934083193
RNN-RNN,10,10,11,9,0.6252810020252906
RNN-RNN,10,10,11,10,0.47729115086632534
RNN-RNN,10,10,11,12,0.6042529000551111
RNN-RNN,10,10,11,13,0.3379820154002804
RNN-RNN,10,10,11,14,0.5736772914004179
RNN-RNN,10,10,11,15,0.5788871195301886
RNN-RNN,10,10,11,16,0.6481293078919049
RNN-RNN,10,10,11,17,0.5962644875730626
RNN-RNN,10,10,11,18,0.4401484282339497
RNN-RNN,10,10,11,19,0.5080553533489356
RNN-RNN,10,10,11,20,0.5167656822309755
RNN-RNN,10,10,11,21,0.7232877176534782
RNN-RNN,10,10,11,22,0.6185406942768356
RNN-RNN,10,10,11,23,0.509357946122936
RNN-RNN,10,10,11,24,0.49474945726968983
RNN-RNN,10,10,11,25,0.5480095231120634
RNN-RNN,10,10,11,26,0.45198382659470726
RNN-RNN,10,10,11,27,0.6432449348405085
RNN-RNN,10,10,11,28,0.44726716035046166
RNN-RNN,10,10,11,29,0.5044219558084957
RNN-RNN,10,10,11,30,0.30439588496395614
RNN-RNN,10,10,12,0,0.6980350779174929
RNN-RNN,10,10,12,1,0.5458143432633187
RNN-RNN,10,10,12,2,0.6602506958033066
RNN-RNN,10,10,12,3,0.6214253223909493
RNN-RNN,10,10,12,4,0.9174285666713062
RNN-RNN,10,10,12,5,0.46641371733826265
RNN-RNN,10,10,12,6,0.7124372448585745
RNN-RNN,10,10,12,7,0.7419796461641248
RNN-RNN,10,10,12,8,0.6015158948644242
RNN-RNN,10,10,12,9,0.6368459798362955
RNN-RNN,10,10,12,10,0.5885094611987186
RNN-RNN,10,10,12,11,0.6042529000551111
RNN-RNN,10,10,12,13,0.3301050399055959
RNN-RNN,10,10,12,14,0.7641342214070175
RNN-RNN,10,10,12,15,0.7046823680346179
RNN-RNN,10,10,12,16,0.4680636345065431
RNN-RNN,10,10,12,17,0.6369004812429226
RNN-RNN,10,10,12,18,0.5454098654567349
RNN-RNN,10,10,12,19,0.7695428686082235
RNN-RNN,10,10,12,20,0.5475151405559672
RNN-RNN,10,10,12,21,0.6618083830853894
RNN-RNN,10,10,12,22,0.5440267328652961
RNN-RNN,10,10,12,23,0.5639047618358956
RNN-RNN,10,10,12,24,0.6406260525894003
RNN-RNN,10,10,12,25,0.6197112509896738
RNN-RNN,10,10,12,26,0.6953496169764952
RNN-RNN,10,10,12,27,0.48511613421216726
RNN-RNN,10,10,12,28,0.31738977927616596
RNN-RNN,10,10,12,29,0.5964205270450249
RNN-RNN,10,10,12,30,0.44117427206870413
RNN-RNN,10,10,13,0,0.13633428792360403
RNN-RNN,10,10,13,1,0.6464753140700342
RNN-RNN,10,10,13,2,0.10531503608462865
RNN-RNN,10,10,13,3,0.3750457258708422
RNN-RNN,10,10,13,4,0.31165611270463234
RNN-RNN,10,10,13,5,-0.040905415541010105
RNN-RNN,10,10,13,6,0.6615586685892622
RNN-RNN,10,10,13,7,0.48440609363077614
RNN-RNN,10,10,13,8,0.4429379625074251
RNN-RNN,10,10,13,9,0.13381548528370818
RNN-RNN,10,10,13,10,0.30943014937751306
RNN-RNN,10,10,13,11,0.3379820154002804
RNN-RNN,10,10,13,12,0.3301050399055959
RNN-RNN,10,10,13,14,0.4141746885533431
RNN-RNN,10,10,13,15,0.39901129541448804
RNN-RNN,10,10,13,16,0.5498058132862939
RNN-RNN,10,10,13,17,0.4362490050095118
RNN-RNN,10,10,13,18,0.08172395743570164
RNN-RNN,10,10,13,19,0.3279871156001035
RNN-RNN,10,10,13,20,0.009288556492813339
RNN-RNN,10,10,13,21,0.40618368072913946
RNN-RNN,10,10,13,22,0.4299354838225287
RNN-RNN,10,10,13,23,0.5467466050672778
RNN-RNN,10,10,13,24,0.3045640012820552
RNN-RNN,10,10,13,25,0.4188248721723008
RNN-RNN,10,10,13,26,0.5775208030114072
RNN-RNN,10,10,13,27,0.46602401846547936
RNN-RNN,10,10,13,28,0.7782997582563449
RNN-RNN,10,10,13,29,0.13856261468635186
RNN-RNN,10,10,13,30,0.6511190948876706
RNN-RNN,10,10,14,0,0.5517883879340846
RNN-RNN,10,10,14,1,0.557517408101173
RNN-RNN,10,10,14,2,0.5068294156469093
RNN-RNN,10,10,14,3,0.5580107816211674
RNN-RNN,10,10,14,4,0.76032968069658
RNN-RNN,10,10,14,5,0.4010370231210669
RNN-RNN,10,10,14,6,0.6574668799163402
RNN-RNN,10,10,14,7,0.6131842192571214
RNN-RNN,10,10,14,8,0.7015874959721563
RNN-RNN,10,10,14,9,0.6057674233356056
RNN-RNN,10,10,14,10,0.6562832621713801
RNN-RNN,10,10,14,11,0.5736772914004179
RNN-RNN,10,10,14,12,0.7641342214070175
RNN-RNN,10,10,14,13,0.4141746885533431
RNN-RNN,10,10,14,15,0.563746757658002
RNN-RNN,10,10,14,16,0.5049455486840282
RNN-RNN,10,10,14,17,0.740251698709274
RNN-RNN,10,10,14,18,0.5853426189611042
RNN-RNN,10,10,14,19,0.5036369877831293
RNN-RNN,10,10,14,20,0.49903833548515464
RNN-RNN,10,10,14,21,0.7595011928736346
RNN-RNN,10,10,14,22,0.5937072046369015
RNN-RNN,10,10,14,23,0.5119633475560454
RNN-RNN,10,10,14,24,0.713620357071225
RNN-RNN,10,10,14,25,0.6365100102212929
RNN-RNN,10,10,14,26,0.7364540608927308
RNN-RNN,10,10,14,27,0.6650526506892269
RNN-RNN,10,10,14,28,0.36730236064479177
RNN-RNN,10,10,14,29,0.5997796384403338
RNN-RNN,10,10,14,30,0.49807502480264065
RNN-RNN,10,10,15,0,0.5924161320375555
RNN-RNN,10,10,15,1,0.530225833882704
RNN-RNN,10,10,15,2,0.5915657955172109
RNN-RNN,10,10,15,3,0.658124266520467
RNN-RNN,10,10,15,4,0.7297856713143519
RNN-RNN,10,10,15,5,0.6176146123561591
RNN-RNN,10,10,15,6,0.6754396595940856
RNN-RNN,10,10,15,7,0.6805416812793097
RNN-RNN,10,10,15,8,0.5563758843452744
RNN-RNN,10,10,15,9,0.6595360471226603
RNN-RNN,10,10,15,10,0.6497877422511913
RNN-RNN,10,10,15,11,0.5788871195301886
RNN-RNN,10,10,15,12,0.7046823680346179
RNN-RNN,10,10,15,13,0.39901129541448804
RNN-RNN,10,10,15,14,0.563746757658002
RNN-RNN,10,10,15,16,0.6396877170415392
RNN-RNN,10,10,15,17,0.715488519098761
RNN-RNN,10,10,15,18,0.5910006499321898
RNN-RNN,10,10,15,19,0.7881513439925251
RNN-RNN,10,10,15,20,0.541357902704743
RNN-RNN,10,10,15,21,0.7321214243648189
RNN-RNN,10,10,15,22,0.5433318765203529
RNN-RNN,10,10,15,23,0.705053089456692
RNN-RNN,10,10,15,24,0.6175409408176417
RNN-RNN,10,10,15,25,0.6111529916839502
RNN-RNN,10,10,15,26,0.7087880598773322
RNN-RNN,10,10,15,27,0.637944543219972
RNN-RNN,10,10,15,28,0.4854073265209681
RNN-RNN,10,10,15,29,0.6600573963107917
RNN-RNN,10,10,15,30,0.6504739696353992
RNN-RNN,10,10,16,0,0.39653833777523984
RNN-RNN,10,10,16,1,0.6267583073881833
RNN-RNN,10,10,16,2,0.3607691062528599
RNN-RNN,10,10,16,3,0.5617409669196638
RNN-RNN,10,10,16,4,0.46145769404401715
RNN-RNN,10,10,16,5,0.18943109541978817
RNN-RNN,10,10,16,6,0.5782537513547243
RNN-RNN,10,10,16,7,0.6235147755049432
RNN-RNN,10,10,16,8,0.784541367855496
RNN-RNN,10,10,16,9,0.5525826138845537
RNN-RNN,10,10,16,10,0.6540139324586165
RNN-RNN,10,10,16,11,0.6481293078919049
RNN-RNN,10,10,16,12,0.4680636345065431
RNN-RNN,10,10,16,13,0.5498058132862939
RNN-RNN,10,10,16,14,0.5049455486840282
RNN-RNN,10,10,16,15,0.6396877170415392
RNN-RNN,10,10,16,17,0.5217558206401696
RNN-RNN,10,10,16,18,0.38573994581959525
RNN-RNN,10,10,16,19,0.43825684315704405
RNN-RNN,10,10,16,20,0.4109284970432267
RNN-RNN,10,10,16,21,0.6016615234139664
RNN-RNN,10,10,16,22,0.5554748027010938
RNN-RNN,10,10,16,23,0.5683566705319549
RNN-RNN,10,10,16,24,0.625517213526388
RNN-RNN,10,10,16,25,0.6570688755481309
RNN-RNN,10,10,16,26,0.7086208425690214
RNN-RNN,10,10,16,27,0.7915507180995028
RNN-RNN,10,10,16,28,0.4995686363086878
RNN-RNN,10,10,16,29,0.41365045685714175
RNN-RNN,10,10,16,30,0.6805268856806654
RNN-RNN,10,10,17,0,0.6016157711751495
RNN-RNN,10,10,17,1,0.4808579914087836
RNN-RNN,10,10,17,2,0.6838552519364012
RNN-RNN,10,10,17,3,0.6813632042684592
RNN-RNN,10,10,17,4,0.6380134862730293
RNN-RNN,10,10,17,5,0.6893142362460886
RNN-RNN,10,10,17,6,0.6485659376001289
RNN-RNN,10,10,17,7,0.7428166033530343
RNN-RNN,10,10,17,8,0.6549947251637003
RNN-RNN,10,10,17,9,0.7342065307705703
RNN-RNN,10,10,17,10,0.7167733115838193
RNN-RNN,10,10,17,11,0.5962644875730626
RNN-RNN,10,10,17,12,0.6369004812429226
RNN-RNN,10,10,17,13,0.4362490050095118
RNN-RNN,10,10,17,14,0.740251698709274
RNN-RNN,10,10,17,15,0.715488519098761
RNN-RNN,10,10,17,16,0.5217558206401696
RNN-RNN,10,10,17,18,0.8034026335924165
RNN-RNN,10,10,17,19,0.6395186069528007
RNN-RNN,10,10,17,20,0.6197352355641863
RNN-RNN,10,10,17,21,0.8283950951328685
RNN-RNN,10,10,17,22,0.7383055593929566
RNN-RNN,10,10,17,23,0.7186102147419744
RNN-RNN,10,10,17,24,0.6995917430828691
RNN-RNN,10,10,17,25,0.6886302801250986
RNN-RNN,10,10,17,26,0.7503578585571228
RNN-RNN,10,10,17,27,0.6436404308345081
RNN-RNN,10,10,17,28,0.509893987144775
RNN-RNN,10,10,17,29,0.8103310223943576
RNN-RNN,10,10,17,30,0.626967370029725
RNN-RNN,10,10,18,0,0.6505757854158623
RNN-RNN,10,10,18,1,0.23795426585782037
RNN-RNN,10,10,18,2,0.7318899663937118
RNN-RNN,10,10,18,3,0.502807949807301
RNN-RNN,10,10,18,4,0.5622603290127293
RNN-RNN,10,10,18,5,0.7394793742043262
RNN-RNN,10,10,18,6,0.3674381491204526
RNN-RNN,10,10,18,7,0.5962535077504613
RNN-RNN,10,10,18,8,0.5267753078188114
RNN-RNN,10,10,18,9,0.6980556991568995
RNN-RNN,10,10,18,10,0.6850724654870005
RNN-RNN,10,10,18,11,0.4401484282339497
RNN-RNN,10,10,18,12,0.5454098654567349
RNN-RNN,10,10,18,13,0.08172395743570164
RNN-RNN,10,10,18,14,0.5853426189611042
RNN-RNN,10,10,18,15,0.5910006499321898
RNN-RNN,10,10,18,16,0.38573994581959525
RNN-RNN,10,10,18,17,0.8034026335924165
