,Kind,Min_Length,Max_Length,Repetition,Sum of Absolute Values,Mean Value,Standard Deviation,Shannon Entropy,Maximum Value,Minimum Value,Kmeans Threshold_A,Kmeans Threshold_B,Kmeans Nodes A Exceeding Treshhold = 1,Kmeans Nodes B Exceeding Treshhold = 1,Total Nodes = 1,count_11,count_00,count_mixed,Overlap % with zeroes,Overlap % no zeroes,Sum of min
28,LSTM,50,50,15.0,10.500245161290323,0.4359290322580645,0.33710645161290326,3.616025806451613,0.9231709677419355,-0.007880645161290323,0.4092870967741935,0.4390193548387097,6.161290322580645,6.193548387096774,12.35483870967742,2.2580645161290325,1.903225806451613,7.838709677419355,0.26843225806451615,0.42651935483870973,2.2580645161290325
29,LSTM,50,55,15.0,10.305129032258064,0.4266935483870967,0.32976451612903224,3.534941935483871,0.9160967741935484,-0.012329032258064516,0.4298225806451613,0.42452580645161286,5.870967741935484,5.903225806451613,11.774193548387096,1.903225806451613,2.129032258064516,7.967741935483871,0.21208709677419355,0.2959935483870968,1.903225806451613
30,LSTMA,10,10,15.0,4.651309677419355,0.18615806451612904,0.16345806451612901,3.669567741935484,0.4647258064516129,-0.020706451612903225,0.19388709677419352,0.15394193548387097,6.806451612903226,6.354838709677419,13.161290322580646,2.4193548387096775,1.4838709677419355,8.096774193548388,0.3734774193548387,0.38303548387096775,2.4193548387096775
31,LSTMA,10,15,15.0,5.104096774193549,0.2060709677419355,0.19228709677419353,3.514061290322581,0.553116129032258,-0.021667741935483868,0.21108709677419354,0.2026193548387097,5.580645161290323,6.387096774193548,11.96774193548387,1.5483870967741935,1.8064516129032258,8.64516129032258,0.19224516129032257,0.25400645161290325,1.5483870967741935
32,LSTMA,20,20,15.0,1.932974193548387,0.07283225806451613,0.08806774193548388,3.4814709677419358,0.23836774193548388,-0.02459032258064516,0.06788064516129032,0.07873548387096774,6.419354838709677,6.064516129032258,12.483870967741936,2.5806451612903225,3.0,6.419354838709677,0.4048548387096774,0.5540677419354839,2.5806451612903225
33,LSTMA,20,25,15.0,1.923409677419355,0.07212903225806451,0.08323225806451613,3.406774193548387,0.24856129032258065,-0.01971935483870968,0.06825806451612904,0.08606451612903226,6.483870967741935,5.935483870967742,12.419354838709678,2.6451612903225805,3.3870967741935485,5.967741935483871,0.5822032258064516,0.8931903225806451,2.6451612903225805
34,LSTMA,30,30,15.0,1.1452774193548387,0.03981612903225806,0.05066451612903226,3.361148387096774,0.14031290322580647,-0.018745161290322578,0.02340967741935484,0.05759354838709678,6.774193548387097,5.870967741935484,12.64516129032258,3.096774193548387,3.7419354838709675,5.161290322580645,0.629,0.5618483870967742,3.096774193548387
35,LSTMA,30,35,15.0,0.7369741935483871,0.024058064516129032,0.038093548387096776,3.2262645161290324,0.09829677419354839,-0.013687096774193549,0.025983870967741934,0.02791935483870968,5.935483870967742,6.483870967741935,12.419354838709678,2.6129032258064515,4.193548387096774,5.193548387096774,0.3661161290322581,0.47941612903225805,2.6129032258064515
36,LSTMA,40,40,15.0,0.6002967741935484,0.021154838709677416,0.030154838709677417,3.2215354838709676,0.07950322580645161,-0.010541935483870968,0.014380645161290322,0.028183870967741935,6.548387096774194,5.774193548387097,12.32258064516129,2.7419354838709675,4.161290322580645,5.096774193548387,0.7502096774193548,0.8940354838709678,2.7419354838709675
37,LSTMA,40,45,15.0,0.9898064516129033,0.033603225806451614,0.051774193548387096,3.2362129032258062,0.14117096774193547,-0.01917741935483871,0.044367741935483866,0.030225806451612904,6.32258064516129,5.032258064516129,11.35483870967742,2.064516129032258,4.032258064516129,5.903225806451613,0.26676129032258067,0.5150806451612903,2.064516129032258
