,Model Identifier,Matrix
51,RNNA-10-10-20,"[[ 0.34372883  0.34372883  0.         -0.01701058  0.41606904  0.34372883
   0.34372883  0.34372883 -0.01701058  0.41606904  0.24398977  0.41606904]
 [ 0.18550612  0.1775069   0.97645866  0.82314564  0.27194132  0.00655559
   0.18550612  0.18550612  0.97645866  0.27194132  0.          0.22272509]]"
52,RNNA-10-10-21,"[[ 0.03327537  0.35806506  0.          0.22905578  0.1956751   0.14776417
   0.14021529  0.16776417  0.33051619 -0.00384904 -0.00384904  0.1956751 ]
 [ 0.03915192  0.18654469  0.          0.38659206  0.43356237  0.51639656
   0.51639656  0.51639656  0.22919132  0.05203068  0.00367942  0.43356237]]"
53,RNNA-10-10-22,"[[0.71231684 0.37860975 0.75781295 0.10965498 0.7486161  0.02519947
  0.1675392  0.49192766 0.60092287 0.75781295 0.         0.67502197]
 [0.28526346 0.19785213 0.06745397 0.54422705 0.02603687 0.69280382
  0.42043698 0.22863378 0.16375917 0.         0.58451461 0.28526346]]"
54,RNNA-10-10-23,"[[-0.00199046  0.31136187  0.07279303  0.16299144  0.          0.25758749
  -0.0118291   0.10082525  0.3058794   0.10694091  0.35771015  0.20249208]
 [ 0.02064817  0.06264548  0.02064817  0.05732479  0.00164683  0.02064817
   0.00164683  0.00164683  0.09941864  0.          0.06264548 -0.01041396]]"
55,RNNA-10-10-24,"[[0.99829287 0.47731697 0.51006684 0.24047583 0.99829287 0.74676245
  0.         0.06328538 0.13858358 0.37561852 0.99829287 0.0410587 ]
 [0.11050439 0.69287579 0.41759343 0.68502154 0.         0.25675379
  0.76593457 0.76593457 0.74806456 0.56720518 0.         0.76593457]]"
56,RNNA-10-10-25,"[[ 0.23461158  0.71615387 -0.00696219  0.66105612  0.31600424  0.06126295
   0.          0.46765957  0.06126295  0.12972333  0.08881182  0.60918356]
 [ 0.15944241 -0.03771041 -0.03419854  0.08188819  0.0251909   0.10905934
   0.15047644  0.          0.10905934  0.15047644  0.15047644  0.05827217]]"
57,RNNA-10-10-26,"[[ 0.3611337   0.09158635  0.0516921   0.          0.3611337   0.20272316
   0.19416339  0.27848708  0.30603595  0.00134969  0.3611337  -0.00845532]
 [ 0.09270441  0.          0.09270441  0.09270441 -0.00985478  0.09270441
   0.09270441  0.09270441  0.02292816  0.03760666  0.09270441  0.03760666]]"
58,RNNA-10-10-27,"[[0.70962277 0.36982658 0.8489718  0.01213684 0.89038889 0.89038889
  0.89038889 0.61953796 0.64083948 0.01213684 0.         0.06014403]
 [0.71255356 0.32168677 0.01015349 0.79501262 0.24372516 0.42737754
  0.         0.71255356 0.61956496 0.79501262 0.79501262 0.05935679]]"
59,RNNA-10-10-28,"[[ 0.66514849  0.39127418  0.7324683   0.7324683   0.58152532  0.0668496
   0.07766591  0.60104672  0.7324683   0.          0.03777828  0.16543037]
 [-0.01636508 -0.01636508 -0.01016089 -0.01636508 -0.01439437  0.03144377
   0.03144377 -0.01636508 -0.01232946  0.         -0.01636508  0.03144377]]"
60,RNNA-10-10-29,"[[0.43598147 0.         0.30617697 0.13859881 0.50417966 0.50417966
  0.50417966 0.30617697 0.50417966 0.09181497 0.249975   0.30617697]
 [0.30909781 0.27469416 0.30909781 0.23110836 0.         0.
  0.         0.11197231 0.         0.25084038 0.21118604 0.30909781]]"
61,RNNA-10-10-30,"[[ 0.05011807 -0.09278296 -0.00526355 -0.02784404  0.11137016  0.13040745
  -0.10205304  0.11895498  0.11895498  0.12185992  0.05011807  0.        ]
 [ 0.65196711  0.55196711  0.          0.44906052 -0.02216208  0.12957292
   0.22747386  0.38852304  0.05889496  0.35423638  0.65196711  0.49254568]]"
62,LSTM-10-10-0,"[[1.19101197e-02 3.14989463e-01 9.89556011e-01 1.76331880e-01
  2.35555311e-01 6.89072336e-01 0.00000000e+00 2.35555311e-01
  9.89556011e-01 1.32629105e-01 2.73572369e-01 8.21819572e-01]
 [9.64768038e-01 4.19402891e-01 0.00000000e+00 7.16828163e-01
  3.80401546e-01 9.71575462e-02 9.64768038e-01 3.80401546e-01
  0.00000000e+00 5.94860102e-01 2.61523938e-01 8.53817400e-04]]"
63,LSTM-10-10-1,"[[0.36923907 0.         0.92838993 0.83459081 0.92838993 0.172427
  0.44587295 0.         0.92838993 0.90084106 0.92838993 0.14633804]
 [0.98448906 0.99262874 0.         0.1095763  0.06142821 0.77154569
  0.44805807 0.99262874 0.         0.23155791 0.02445998 0.73757928]]"
64,LSTM-10-10-2,"[[0.38414097 0.         0.99944498 0.6548027  0.99944498 0.38414097
  0.20103419 0.         0.99944498 0.66758631 0.92420075 0.4707797 ]
 [0.59120539 0.99857907 0.         0.24940707 0.         0.41954159
  0.8133017  0.99857907 0.         0.2218186  0.0287263  0.47744527]]"
65,LSTM-10-10-3,"[[9.24052400e-01 0.00000000e+00 9.85757699e-01 0.00000000e+00
  3.15252415e-01 9.85757699e-01 7.21552681e-01 0.00000000e+00
  9.85757699e-01 0.00000000e+00 4.07255932e-01 9.24052400e-01]
 [3.46221278e-02 9.81424696e-01 0.00000000e+00 9.81424696e-01
  3.44606064e-01 0.00000000e+00 6.52043776e-02 9.81424696e-01
  0.00000000e+00 9.81424696e-01 2.86430605e-01 7.16031828e-04]]"
66,LSTM-10-10-4,"[[0.         0.02203123 0.36100519 0.9965563  0.79186751 0.38125372
  0.         0.06789193 0.45747678 0.95513921 0.70891983 0.38125372]
 [0.97537992 0.97537992 0.53891734 0.         0.24877968 0.53891734
  0.97537992 0.91540817 0.48024684 0.00304126 0.19653339 0.53891734]]"
67,LSTM-10-10-5,"[[ 0.83077048  0.54885912  0.01672139  0.80586823  0.31128735  0.73567273
   0.83077048  0.54885912  0.          0.13502394  0.32073192  0.73567273]
 [-0.02919878  0.16972119  0.          0.05271715  0.27305177  0.16972119
  -0.02919878  0.16972119 -0.01883251  0.11575478  0.27305177  0.16972119]]"
68,LSTM-10-10-6,"[[ 0.89892075  0.12140001  0.41034534  0.89892075  0.          0.28864985
   0.89892075 -0.01563002  0.4218376   0.89892075 -0.01563002  0.28864985]
 [ 0.          0.13469055  0.45553968  0.88742988  0.93091504  0.75581564
   0.          0.00541741  0.43712914  0.88742988  0.93091504  0.75581564]]"
69,LSTM-10-10-7,"[[0.         0.8771609  0.         0.4971609  0.26172915 0.8771609
  0.         0.77584542 0.         0.60191667 0.26172915 0.8771609 ]
 [0.9717022  0.45531231 0.9717022  0.01921894 0.9186983  0.4007296
  0.9717022  0.50937582 0.9717022  0.         0.9186983  0.35064811]]"
70,LSTM-10-10-8,"[[0.         0.91128502 0.50601797 0.26745102 0.27990214 0.60476483
  0.         0.91128502 0.55047471 0.25235327 0.21861592 0.66178157]
 [0.93987575 0.         0.26716421 0.5233056  0.48585578 0.20156868
  0.93987575 0.         0.31779324 0.49883042 0.4015908  0.11594173]]"
71,LSTM-10-10-9,"[[0.85197534 0.28547467 0.01085987 0.48727636 0.07766748 0.47438813
  0.85197534 0.70339856 0.03862468 0.48727636 0.         0.47438813]
 [0.31464018 0.         0.59480211 0.65435624 0.23974587 0.65435624
  0.13232968 0.06696275 0.53176449 0.65435624 0.22940389 0.65435624]]"
72,LSTM-10-10-10,"[[0.80757206 0.99172173 0.20890912 0.99172173 0.         0.57193934
  0.80757206 0.99172173 0.04730562 0.99172173 0.         0.57193934]
 [0.62708594 0.02000682 0.34453494 0.17624349 0.9997104  0.95136573
  0.62708594 0.02000682 0.72399359 0.         0.9997104  0.95136573]]"
73,LSTM-10-10-11,"[[0.97649853 0.97649853 0.33173065 0.049282   0.01313825 0.50364948
  0.97649853 0.97649853 0.26791829 0.15043771 0.01313825 0.        ]
 [0.         0.21967616 0.98533165 0.98533165 0.98533165 0.57235464
  0.         0.21967616 0.89836134 0.98533165 0.98533165 0.98533165]]"
74,LSTM-10-10-12,"[[0.33935534 0.91969356 0.54492515 0.0285415  0.01398738 0.91969356
  0.33935534 0.91969356 0.29365859 0.         0.01398738 0.91969356]
 [0.46744495 0.00914799 0.20554157 0.9729286  0.92944344 0.
  0.46744495 0.         0.48563686 0.92944344 0.92944344 0.00914799]]"
75,LSTM-10-10-13,"[[0.28462706 0.64821776 0.48336921 0.         0.98531282 0.93445116
  0.14212538 0.72292451 0.53248518 0.         0.98531282 0.98531282]
 [0.80126861 0.09157276 0.99201689 0.99201689 0.44550754 0.04050346
  0.80126861 0.01178623 0.90282004 0.99201689 0.44550754 0.        ]]"
76,LSTM-10-10-14,"[[9.02815210e-04 6.52958368e-02 1.51106115e-01 1.64077296e-01
  0.00000000e+00 6.52958368e-02 1.06125891e-02 1.64077296e-01
  1.64077296e-01 1.64077296e-01 0.00000000e+00 6.52958368e-02]
 [9.16192168e-01 1.46771619e-01 6.56018990e-01 3.45743660e-01
  0.00000000e+00 4.71366925e-01 7.71794306e-01 2.45556188e-01
  6.18189477e-01 3.45743660e-01 0.00000000e+00 4.71366925e-01]]"
