Kind,Repetition,Sum of Absolute Values,Mean Value,Standard Deviation,Maximum Value,Minimum Value,Kmeans_song_1_treshold,Kmeans_song_2_treshold,Kmeans_song_3_treshold,Kmeans_song_4_treshold,Song_1_Nodes_exceeding_treshold,Song_2_Nodes_exceeding_treshold,Song_3_Nodes_exceeding_treshold,Song_4_Nodes_exceeding_treshold,Total_Nodes_exceeding_treshold,degree_2_overlapp,degree_3_overlapp,degree_4_overlapp,sum_of_degree_overlapp,Total_Overlapp_percentage_by20,overlapp_column1,overlapp_column2,overlapp_column3,overlapp_column4,overlapp_column5,overlapp_column6,overlapp_column7,overlapp_column8,overlapp_column9,overlapp_column10,overlapp_column11,overlapp_column12,overlapp_column13,overlapp_column14,overlapp_column15,overlapp_column16,overlapp_column17,overlapp_column18,overlapp_column19,overlapp_column20
GRUA,23,25.728,0.3214,0.2484,0.7708,-0.0042,0.4494,0.3619,0.2587,0.3108,12,6,7,9,34,8,2,1,11,0.00325,0.5,0.0,0.75,0.5,0.75,0.5,0.0,0.5,0.5,0.0,0.0,1.0,0.5,0.0,0.0,0.0,0.0,0.0,0.5,0.5
GRUA,24,22.3203,0.279,0.2551,0.7854,0.0,0.3351,0.3465,0.3253,0.3128,11,7,6,7,31,4,4,1,9,0.003,0.5,0.0,0.75,1.0,0.75,0.0,0.75,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.75,0.5,0.0,0.0
GRUA,25,24.9784,0.3122,0.258,0.7843,0.0,0.4188,0.3748,0.2855,0.3112,13,7,6,6,32,6,4,0,10,0.003,0.0,0.0,0.75,0.0,0.75,0.5,0.5,0.0,0.0,0.5,0.75,0.5,0.0,0.0,0.75,0.0,0.5,0.5,0.0,0.0
GRUA,26,27.0741,0.3384,0.2687,0.7992,0.0,0.3721,0.3603,0.3516,0.3637,12,8,8,8,36,3,4,3,10,0.00375,1.0,0.0,0.0,0.75,0.75,0.0,0.0,0.5,0.0,0.5,0.0,1.0,1.0,0.0,0.5,0.75,0.0,0.0,0.75,0.0
GRUA,27,34.78,0.4347,0.2849,0.8111,-0.001,0.4203,0.4027,0.3801,0.3773,12,11,11,12,46,5,5,4,14,0.005125,1.0,0.0,0.75,0.0,0.75,0.0,0.75,0.5,0.0,0.75,0.5,0.5,0.5,0.0,0.5,1.0,1.0,0.0,1.0,0.75
GRUA,28,25.3474,0.3168,0.2664,0.8111,-0.0026,0.3835,0.339,0.309,0.314,13,8,8,7,36,6,6,0,12,0.00375,0.5,0.0,0.0,0.5,0.5,0.5,0.0,0.75,0.5,0.0,0.75,0.75,0.75,0.0,0.0,0.5,0.0,0.75,0.0,0.75
GRUA,29,23.7701,0.2971,0.2561,0.8112,-0.0023,0.4283,0.3355,0.2874,0.2924,12,6,6,7,31,3,3,1,7,0.002375,0.0,0.0,0.0,0.0,0.75,0.75,0.5,0.0,0.0,0.0,0.0,0.0,0.5,0.5,0.0,1.0,0.0,0.0,0.0,0.75
GRUA,30,22.6623,0.2833,0.2512,0.7949,0.0,0.4038,0.3295,0.3161,0.3415,13,5,5,5,28,2,5,0,7,0.002375,0.5,0.0,0.0,0.0,0.75,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.75,0.0,0.75,0.0,0.75,0.75
GRUA,31,28.3426,0.3543,0.2662,0.8025,0.0,0.396,0.3921,0.3571,0.3059,12,9,8,9,38,5,4,2,11,0.00375,1.0,0.0,0.5,0.0,0.0,0.5,0.0,0.75,0.0,0.0,0.5,0.75,0.5,0.0,0.0,0.0,0.75,0.5,1.0,0.75
GRUA,32,26.5089,0.3314,0.2561,0.7734,0.0,0.3798,0.3458,0.3392,0.3165,14,7,8,8,37,6,4,1,11,0.0035,0.5,0.75,0.0,0.5,0.5,1.0,0.5,0.75,0.0,0.0,0.0,0.5,0.0,0.0,0.75,0.0,0.5,0.0,0.75,0.0
GRUA,33,28.4249,0.3553,0.2645,0.8091,0.0,0.4147,0.3852,0.3737,0.3837,11,8,7,8,34,4,6,0,10,0.00325,0.0,0.5,0.75,0.0,0.0,0.0,0.5,0.75,0.0,0.5,0.5,0.75,0.0,0.75,0.0,0.0,0.0,0.0,0.75,0.75
GRUA,34,26.5894,0.3324,0.2611,0.8113,0.0,0.4047,0.3578,0.3243,0.2906,14,7,8,6,35,4,4,2,10,0.0035,0.0,0.0,0.0,0.5,0.5,0.0,0.75,0.5,0.5,0.0,0.75,0.0,0.75,0.0,0.75,0.0,0.0,0.0,1.0,1.0
GRUA,35,28.4072,0.3547,0.2708,0.8107,-0.0077,0.4517,0.366,0.3823,0.3823,12,8,6,7,33,6,2,1,9,0.00275,0.0,0.5,0.0,0.75,0.75,0.0,0.0,0.5,0.0,0.5,0.0,0.5,0.0,0.0,1.0,0.5,0.5,0.0,0.0,0.0
GRUA,36,28.0853,0.3511,0.2582,0.7852,-0.0002,0.3648,0.3373,0.3773,0.3895,12,10,8,7,37,7,4,1,12,0.00375,0.75,0.0,0.5,0.5,0.5,0.0,0.0,0.75,1.0,0.0,0.0,0.5,0.5,0.0,0.5,0.75,0.5,0.75,0.0,0.0
GRUA,37,21.5637,0.2692,0.2275,0.7254,-0.0084,0.3323,0.337,0.2485,0.3244,12,5,7,7,31,5,4,0,9,0.00275,0.5,0.0,0.0,0.0,0.75,0.75,0.0,0.0,0.5,0.75,0.5,0.0,0.0,0.0,0.5,0.0,0.0,0.5,0.0,0.75
GRUA,38,29.0703,0.3633,0.2647,0.8103,-0.0026,0.4441,0.3876,0.3,0.3119,12,8,7,12,39,7,4,2,13,0.00425,0.5,0.5,0.0,0.75,0.75,0.5,0.0,0.75,0.5,0.5,0.0,0.0,0.5,0.75,0.0,0.0,1.0,1.0,0.5,0.0
GRUA,39,20.4421,0.2553,0.2292,0.6727,-0.0071,0.3534,0.2819,0.2895,0.2846,12,8,5,5,30,5,2,1,8,0.0025,0.0,0.0,0.0,0.0,0.0,0.75,0.0,0.5,0.5,1.0,0.0,0.0,0.5,0.0,0.5,0.0,0.0,0.0,0.5,0.75
GRUA,40,26.9172,0.3365,0.2766,0.8111,0.0,0.3878,0.3474,0.3504,0.3872,10,9,8,8,35,1,6,2,9,0.0035,1.0,0.0,0.0,0.75,0.75,0.75,0.0,0.0,0.75,0.5,0.75,1.0,0.0,0.0,0.75,0.0,0.0,0.0,0.0,0.0
GRUA,41,28.2903,0.3535,0.2767,0.7595,-0.0031,0.402,0.3662,0.3459,0.3255,11,10,9,9,39,4,4,4,12,0.0045,1.0,0.75,1.0,0.0,0.0,0.0,0.75,0.0,0.75,0.75,1.0,1.0,0.0,0.5,0.0,0.0,0.0,0.5,0.5,0.5
GRUA,42,34.4812,0.4307,0.2769,0.8113,-0.0113,0.3409,0.4007,0.3968,0.4057,14,12,11,10,47,5,6,4,15,0.0055,0.5,0.75,0.5,1.0,0.75,0.75,0.75,0.75,0.5,0.0,0.0,1.0,0.0,0.0,0.0,0.5,0.5,1.0,0.75,1.0
GRUA,43,23.4838,0.2935,0.2474,0.767,-0.0025,0.3706,0.3368,0.3341,0.3181,13,7,5,6,31,5,2,1,8,0.0025,0.5,0.0,0.0,0.0,0.0,0.5,1.0,0.5,0.75,0.75,0.0,0.0,0.0,0.5,0.0,0.0,0.5,0.0,0.0,0.0
GRUA,44,33.3801,0.4173,0.2699,0.7994,0.0,0.3959,0.3743,0.3524,0.3969,13,11,11,11,46,5,8,2,15,0.00525,0.5,0.75,0.5,0.0,0.75,0.5,0.0,0.75,0.75,0.5,0.75,0.0,0.75,1.0,0.75,0.0,0.75,1.0,0.5,0.0
GRUA,45,25.4998,0.3187,0.2702,0.8113,0.0,0.3651,0.3425,0.3646,0.293,12,9,8,7,36,5,6,0,11,0.0035,0.0,0.0,0.0,0.5,0.0,0.75,0.75,0.5,0.0,0.75,0.0,0.75,0.0,0.5,0.5,0.75,0.0,0.5,0.75,0.0
GRUA,46,23.6752,0.2959,0.2538,0.8004,0.0,0.4734,0.3192,0.2621,0.2643,12,7,7,6,32,2,4,2,8,0.003,0.0,0.0,0.0,0.75,0.0,0.0,0.0,1.0,0.5,0.75,0.75,1.0,0.0,0.0,0.75,0.5,0.0,0.0,0.0,0.0
GRUA,47,28.313,0.3538,0.2653,0.8085,-0.0041,0.419,0.3615,0.3281,0.2965,14,10,7,8,39,4,5,2,11,0.003875,1.0,0.0,0.5,0.5,0.0,0.0,0.75,0.0,0.0,0.0,0.75,0.75,0.0,0.75,1.0,0.0,0.5,0.75,0.5,0.0
GRUA,48,27.9543,0.3494,0.2568,0.7977,0.0,0.3483,0.4014,0.3836,0.3729,12,8,7,8,35,3,4,2,9,0.00325,0.0,0.5,0.0,0.0,0.75,0.0,0.0,0.0,0.0,0.75,0.5,1.0,0.0,0.0,0.5,0.75,0.0,0.75,1.0,0.0
GRUA,49,27.202,0.34,0.2583,0.7982,0.0,0.3551,0.3592,0.3541,0.409,11,9,7,8,35,4,5,1,10,0.003375,0.0,0.0,0.75,0.0,0.0,0.75,0.0,0.75,0.5,0.0,0.75,0.75,0.0,0.5,1.0,0.0,0.0,0.5,0.5,0.0
