Kind,Min_Length,Max_Length,Repetition,Sum of Absolute Values,Mean Value,Standard Deviation,Shannon Entropy,Maximum Value,Minimum Value,Kmeans Threshold_A,Kmeans Threshold_B,Kmeans Nodes A Exceeding Treshhold = 1,Kmeans Nodes B Exceeding Treshhold = 1,Total Nodes = 1,count_11,count_00,count_mixed,Overlap % with zeroes,Overlap % no zeroes,Sum of min
LSTM,10,10,18,12.1551,0.5065,0.3957,3.585,0.9995,0.0,0.47,0.5343,5,7,12,2,2,8,0.2,0.25,2.1684
LSTM,10,10,19,12.653,0.5272,0.4348,3.585,0.9971,0.0,0.4992,0.5552,6,6,12,0,0,12,0.0,0.0,1.2874
LSTM,10,10,20,11.4698,0.4779,0.357,3.8074,0.9973,0.0,0.3596,0.4903,8,6,14,4,2,6,0.5,0.6667,2.9138
LSTM,10,10,21,13.2369,0.5515,0.4024,3.4594,0.9953,0.0,0.5881,0.5864,7,4,11,0,1,11,0.0,0.0,2.3007
LSTM,10,10,22,13.234,0.5514,0.3942,3.585,0.9964,0.0,0.5848,0.519,4,8,12,0,0,12,0.0,0.0,2.2856
LSTM,10,10,23,13.2645,0.5527,0.3864,3.3219,0.9972,0.0,0.6022,0.6267,6,4,10,0,2,10,0.0,0.0,2.5898
LSTM,10,10,24,11.3308,0.4721,0.3659,3.4594,0.9889,0.0,0.4067,0.5922,6,5,11,0,1,11,0.0,0.0,2.2022
LSTM,10,10,25,14.7409,0.6142,0.3528,3.7004,0.9924,0.0,0.6105,0.5526,5,8,13,1,0,11,0.0909,0.0909,3.6652
LSTM,10,10,26,10.629,0.4429,0.4019,3.3219,0.9922,0.0,0.5523,0.4578,8,2,10,0,2,10,0.0,0.0,0.9656
LSTM,10,10,27,12.2889,0.512,0.3656,3.585,0.9985,0.0,0.4417,0.5901,8,4,12,0,0,12,0.0,0.0,2.2369
LSTM,10,10,28,10.3093,0.4296,0.3297,2.3219,0.9709,0.0,0.6392,0.6143,3,2,5,0,7,5,0.0,0.0,1.9119
LSTM,10,10,29,11.0032,0.4585,0.4041,3.4594,0.997,0.0,0.5111,0.4711,5,6,11,1,2,9,0.0909,0.1111,1.7351
LSTM,10,10,30,14.0375,0.5849,0.3697,3.585,0.9985,0.0,0.5965,0.5733,6,6,12,2,2,8,0.2,0.25,3.8352
LSTMA,10,10,0,2.5252,0.1052,0.0724,3.7004,0.2265,0.0,0.0658,0.1394,7,6,13,3,2,7,0.3333,0.4286,0.6746
LSTMA,10,10,1,9.4674,0.3945,0.3162,3.8074,0.8864,0.0,0.2593,0.4387,7,7,14,3,1,8,0.3333,0.375,1.4721
LSTMA,10,10,2,3.0763,0.0989,0.1605,3.3219,0.4263,-0.0758,0.2033,0.0127,6,4,10,2,4,6,0.2,0.3333,0.2733
LSTMA,10,10,3,2.3741,0.0989,0.0952,3.585,0.3058,0.0,0.1708,0.0355,5,7,12,0,0,12,0.0,0.0,0.3581
LSTMA,10,10,4,4.7199,0.1886,0.1941,3.8074,0.5049,-0.0308,0.2299,0.0793,8,6,14,4,2,6,0.5,0.6667,0.8018
LSTMA,10,10,5,4.8868,0.2036,0.1409,3.7004,0.3917,0.0,0.1914,0.2033,9,4,13,2,1,9,0.2,0.2222,1.1442
LSTMA,10,10,6,3.5124,0.1464,0.1331,3.9069,0.4227,0.0,0.1876,0.0552,8,7,15,4,1,7,0.5,0.5714,0.6361
LSTMA,10,10,7,3.9722,0.1544,0.1222,4.0,0.2886,-0.076,0.0837,0.1481,8,8,16,8,4,0,2.0,0.0,1.5137
LSTMA,10,10,8,4.057,0.1681,0.1685,3.1699,0.592,-0.0109,0.3106,0.0931,4,5,9,2,5,5,0.2,0.4,0.749
LSTMA,10,10,9,3.0694,0.1279,0.0893,3.585,0.2496,0.0,0.1612,0.0946,6,6,12,0,0,12,0.0,0.0,0.5993
LSTMA,10,10,10,3.2085,0.1268,0.125,3.3219,0.322,-0.0249,0.1859,0.0984,6,4,10,1,3,8,0.0909,0.125,0.4616
LSTMA,10,10,11,2.6847,0.1109,0.0969,3.4594,0.3026,-0.0114,0.1235,0.107,3,8,11,1,2,9,0.0909,0.1111,0.4615
LSTMA,10,10,12,3.6933,0.1539,0.1295,3.7004,0.369,0.0,0.1738,0.1327,5,8,13,1,0,11,0.0909,0.0909,0.4634
LSTMA,10,10,13,7.4099,0.3087,0.2859,3.4594,0.9128,0.0,0.4805,0.1849,5,6,11,0,1,11,0.0,0.0,0.9852
LSTMA,10,10,14,3.1364,0.1218,0.1291,3.9069,0.3224,-0.04,0.1785,0.0217,8,7,15,3,0,9,0.3333,0.3333,0.3208
LSTMA,10,10,15,8.287,0.3453,0.306,3.4594,0.8486,0.0,0.4085,0.3192,7,4,11,0,1,11,0.0,0.0,0.8123
LSTMA,10,10,16,5.0098,0.0704,0.2576,3.4594,0.5718,-0.2262,-0.1258,0.2791,12,6,18,1,2,9,0.0909,0.1111,0.0
LSTMA,10,10,17,6.3922,0.2648,0.1916,3.8074,0.5234,-0.0184,0.2501,0.2147,9,5,14,2,0,10,0.2,0.2,1.1163
LSTMA,10,10,18,7.6425,0.3184,0.1928,4.0,0.582,0.0,0.2777,0.2155,6,10,16,4,0,8,0.5,0.5,1.8883
LSTMA,10,10,19,3.3885,0.1412,0.1712,3.1699,0.6016,-0.0003,0.075,0.2812,5,4,9,0,3,9,0.0,0.0,0.4781
LSTMA,10,10,20,4.1932,0.1747,0.1243,3.7004,0.3836,0.0,0.221,0.1177,6,7,13,2,1,9,0.2,0.2222,0.9401
LSTMA,10,10,21,3.7255,0.1549,0.0893,4.0,0.2433,-0.0021,0.1292,0.122,10,6,16,5,1,6,0.7143,0.8333,1.3266
LSTMA,10,10,22,3.8349,0.1598,0.1252,3.9069,0.3556,0.0,0.1852,0.0851,7,8,15,6,3,3,1.0,2.0,1.2468
LSTMA,10,10,23,2.7116,0.113,0.0977,3.3219,0.2862,0.0,0.081,0.1617,4,6,10,0,2,10,0.0,0.0,0.3473
LSTMA,10,10,24,4.8832,0.2035,0.11,4.1699,0.4149,0.0,0.2092,0.0966,7,11,18,7,1,4,1.4,1.75,1.773
