,Model Identifier,Matrix
64,LSTM-10-10-2,"[[0.69535389 0.         0.99857907 0.36635788 0.99857907 0.72917614
  0.64812185 0.         0.99857907 0.39656314 0.95328582 0.69535389]
 [0.74934431 0.99944498 0.         0.43130215 0.         0.20633523
  0.60164413 0.99944498 0.         0.41250579 0.0295922  0.25397689]]"
65,LSTM-10-10-3,"[[0.99881516 0.         0.99881516 0.         0.18230976 0.99881516
  0.81732651 0.         0.94581126 0.         0.25665336 0.99881516]
 [0.048635   0.98142352 0.         0.98142352 0.4719267  0.
  0.06117387 0.98142352 0.00803904 0.98142352 0.29533604 0.02477328]]"
66,LSTM-10-10-4,"[[4.44089210e-16 0.00000000e+00 4.58199134e-01 9.81244874e-01
  7.11831216e-01 4.58199134e-01 4.44089210e-16 6.97117658e-02
  3.61338170e-01 9.81244874e-01 7.35447235e-01 4.58199134e-01]
 [9.92587632e-01 9.92587632e-01 4.70360257e-01 2.07756725e-01
  1.97530160e-02 4.70360257e-01 9.92587632e-01 9.32615882e-01
  4.89266151e-01 1.98663354e-01 0.00000000e+00 4.70360257e-01]]"
67,LSTM-10-10-5,"[[ 0.79634381  0.31838816 -0.01567957  0.71339614  0.51906061  0.6568635
   0.79634381  0.31838816  0.          0.09219538  0.51906061  0.6568635 ]
 [-0.02097339  0.31290304 -0.00824287  0.03518958  0.16432627  0.31290304
  -0.02097339  0.31290304  0.          0.31290304  0.16432627  0.31290304]]"
68,LSTM-10-10-6,"[[0.89458775 0.14735954 0.52293241 0.89458775 0.         0.32580811
  0.89458775 0.0024348  0.52293241 0.89458775 0.01218601 0.32580811]
 [0.         0.13780582 0.99717698 0.55849033 0.99717698 0.43082962
  0.         0.01879206 0.99717698 0.55849033 0.94751896 0.43082962]]"
69,LSTM-10-10-7,"[[0.         0.92959888 0.         0.444719   0.22825833 0.92959888
  0.         0.84462245 0.         0.59291719 0.22825833 0.92959888]
 [0.95703192 0.08290002 0.95703192 0.45089402 0.9050594  0.06154471
  0.95703192 0.20484137 0.95703192 0.39684191 0.9050594  0.        ]]"
70,LSTM-10-10-8,"[[0.         0.92449426 0.56087285 0.32348201 0.34738215 0.58589356
  0.         0.92449426 0.533645   0.21295486 0.32738215 0.77185557]
 [0.9993987  0.06474023 0.25026764 0.52395392 0.4742959  0.20868704
  0.9993987  0.06474023 0.32237462 0.56424688 0.46040082 0.        ]]"
71,LSTM-10-10-9,"[[0.75862712 0.15278585 0.46464322 0.31082329 0.         0.002993
  0.75862712 0.70665459 0.46464322 0.31082329 0.         0.002993  ]
 [0.32125364 0.         0.44939227 0.54700396 0.12947188 0.54700396
  0.32125364 0.04758105 0.44939227 0.54700396 0.12947188 0.54700396]]"
72,LSTM-10-10-10,"[[0.72790881 1.         0.0074595  1.         0.07588801 0.50138703
  0.72790881 1.         0.         1.         0.07588801 0.50138703]
 [0.25904825 0.         0.68869257 0.93315053 0.97844378 0.40952092
  0.17180661 0.         0.76405812 0.00956999 0.97844378 0.40952092]]"
73,LSTM-10-10-11,"[[0.99079169 0.99079169 0.36960169 0.16087341 0.         0.47999913
  0.99079169 0.99079169 0.34828834 0.19954211 0.         0.03357593]
 [0.         0.40127675 0.98876854 0.16442763 0.98876854 0.72687178
  0.         0.40127675 0.98876854 0.05613842 0.98876854 0.98876854]]"
74,LSTM-10-10-12,"[[0.53458784 0.99969676 0.32377618 0.02157158 0.02157158 0.99969676
  0.53458784 0.90300742 0.49086931 0.         0.02157158 0.99969676]
 [0.41165735 0.         0.22727498 0.94908959 0.94908959 0.
  0.41165735 0.03171597 0.45408534 0.94908959 0.94908959 0.        ]]"
75,LSTM-10-10-13,"[[0.18176142 0.72571953 0.53002697 0.         0.99643886 0.92766046
  0.14200594 0.74385017 0.469182   0.         0.99643886 0.95295371]
 [0.79285361 0.14735531 0.44945968 0.98453144 0.98453144 0.02658641
  0.79771783 0.09845929 0.47736216 0.98453144 0.98453144 0.        ]]"
76,LSTM-10-10-14,"[[0.01587787 0.12175443 0.07375019 0.06425975 0.         0.12175443
  0.01587787 0.10579236 0.07375019 0.06425975 0.         0.12175443]
 [0.91980518 0.26767823 0.70583477 0.41778715 0.         0.56049555
  0.90370877 0.17806681 0.70583477 0.41778715 0.         0.56049555]]"
77,LSTM-10-10-15,"[[0.02709642 0.45679197 0.00521753 0.68668524 0.65058883 0.68668524
  0.         0.30227501 0.05968612 0.57648974 0.65058883 0.68668524]
 [0.65442638 0.11569314 0.00789108 0.20149932 0.68430506 0.03429717
  0.65442638 0.37107475 0.01083235 0.         0.68430506 0.03429717]]"
78,LSTM-10-10-16,"[[-0.04558465 -0.02308415  0.78641291  0.78641291  0.45592445  0.12536583
   0.         -0.04558465  0.73951335  0.78641291  0.57168837  0.11157159]
 [ 0.99711199  0.0069521   0.87952774  0.24224516  0.44698724  0.87952774
   0.99711199  0.          0.74075727  0.13066229  0.42120537  0.87952774]]"
