,Kind,Min_Length,Max_Length,Unnamed: 0,Repetition,Sum of Absolute Values,Mean Value,Standard Deviation,Shannon Entropy,Maximum Value,Minimum Value,Kmeans Threshold_A,Kmeans Threshold_B,Kmeans Nodes A Exceeding Treshhold = 1,Kmeans Nodes B Exceeding Treshhold = 1,count_11,count_00,count_mixed,Overlap % with zeroes,Overlap % no zeroes,Sum of min
47,RNN,40,45,1317.0,15.0,11.166329032258066,0.46426774193548387,0.3659225806451613,3.5358483870967743,0.9897838709677419,-0.0095,0.4761741935483871,0.47160967741935483,5.612903225806452,6.129032258064516,1.4193548387096775,1.6774193548387097,8.903225806451612,0.1618709677419355,0.23796451612903227,2.0777451612903226
48,RNN,50,50,1503.0,15.0,11.647651612903227,0.4834806451612903,0.37843225806451614,3.651574193548387,0.9652806451612903,-0.008529032258064515,0.4808612903225807,0.45030967741935485,6.419354838709677,6.258064516129032,2.032258064516129,1.3548387096774193,8.612903225806452,0.24173225806451612,0.3076516129032258,2.331793548387097
49,RNN,50,55,1689.0,15.0,11.764012903225806,0.4897161290322581,0.3868967741935484,3.5552193548387097,0.9893161290322581,-0.001970967741935484,0.46628709677419355,0.5286193548387097,6.032258064516129,5.838709677419355,1.1935483870967742,1.3225806451612903,9.483870967741936,0.12638387096774192,0.15006774193548386,2.1787645161290325
50,RNNA,10,10,46.0,15.0,5.138570967741936,0.2075,0.1830741935483871,3.6107612903225808,0.5378225806451613,-0.023361290322580646,0.21486451612903226,0.18928064516129034,5.806451612903226,6.870967741935484,2.161290322580645,1.6774193548387097,8.161290322580646,0.33124516129032255,0.4165645161290323,0.8922129032258065
51,RNNA,10,15,232.0,15.0,6.279329032258064,0.25436774193548384,0.23997096774193546,3.5164354838709677,0.6825870967741935,-0.022051612903225805,0.2497548387096774,0.2640258064516129,5.903225806451613,6.32258064516129,1.935483870967742,2.193548387096774,7.870967741935484,0.5672225806451613,0.40879677419354843,0.955474193548387
52,RNNA,20,20,418.0,15.0,2.676651612903226,0.09950967741935483,0.12844516129032257,3.4074806451612902,0.3302096774193548,-0.031448387096774194,0.07655483870967743,0.11442903225806451,6.580645161290323,6.774193548387097,2.193548387096774,3.064516129032258,6.741935483870968,0.3441677419354839,0.391783870967742,0.19670645161290323
53,RNNA,20,25,604.0,15.0,2.641664516129032,0.10188709677419355,0.12811935483870968,3.2668612903225807,0.35653225806451616,-0.023867741935483872,0.07758709677419355,0.1346483870967742,5.548387096774194,5.709677419354839,1.7741935483870968,3.3548387096774195,6.870967741935484,0.21680645161290324,0.3392,0.21852903225806453
54,RNNA,30,30,790.0,15.0,1.622158064516129,0.05703548387096774,0.0754774193548387,3.324948387096774,0.20287741935483872,-0.02441935483870968,0.052322580645161286,0.05889032258064516,6.709677419354839,6.419354838709677,2.5483870967741935,3.3548387096774195,6.096774193548387,0.5002612903225807,0.6269709677419355,0.1552774193548387
55,RNNA,30,35,976.0,15.0,1.4182612903225806,0.05334516129032258,0.06805483870967742,3.4383870967741936,0.19589354838709677,-0.012412903225806451,0.06061935483870968,0.054964516129032255,6.806451612903226,5.580645161290323,2.7419354838709675,3.096774193548387,6.161290322580645,0.6660935483870968,1.026974193548387,0.16548387096774192
56,RNNA,40,40,1162.0,15.0,1.5564741935483872,0.05838387096774194,0.08006129032258065,3.4157774193548387,0.1992032258064516,-0.014609677419354839,0.06866129032258064,0.040374193548387095,4.967741935483871,7.580645161290323,2.225806451612903,2.935483870967742,6.838709677419355,0.3187032258064516,0.35232580645161293,0.09369354838709677
57,RNNA,40,45,1348.0,15.0,0.8770741935483871,0.03127096774193548,0.03980967741935484,3.4666225806451614,0.10724516129032259,-0.014412903225806451,0.033938709677419354,0.027200000000000002,5.838709677419355,7.032258064516129,2.3548387096774195,2.7096774193548385,6.935483870967742,0.46568387096774194,0.7526258064516128,0.11450967741935483
58,RNNA,50,50,1534.0,15.0,0.9724225806451613,0.03186774193548387,0.0474258064516129,3.365867741935484,0.12046129032258066,-0.014158064516129032,0.021074193548387098,0.04425161290322581,6.903225806451613,6.967741935483871,2.774193548387097,3.6774193548387095,5.548387096774194,0.36081290322580645,0.6394516129032258,0.09780645161290323
59,RNNA,50,55,1720.0,15.0,0.6752774193548386,0.02595483870967742,0.030674193548387095,3.462551612903226,0.08961935483870968,-0.005048387096774193,0.0228,0.0359,6.967741935483871,6.032258064516129,2.935483870967742,3.096774193548387,5.967741935483871,0.6228645161290323,0.752583870967742,0.10490322580645162
