,Kind,Min_Length,Max_Length,Sum of Absolute Values,Mean Value,Standard Deviation,Maximum Value,Minimum Value,Shannon Entropy,Kmeans Threshold,Kmeans Nodes Exceeding,Overlap with zeroes,Overlap no zeroes
49,RNNA,50,50,0.9201865607236619,0.03834110669681925,0.01608773035819632,0.07681907382370298,0.015219536194524574,4.466426202143046,0.04663746423255663,6,0.0,0.0
50,LSTM,50,50,10.612083130013302,0.4421701304172209,0.06623943521403061,0.6285988501496206,0.30715158070998705,4.569059280431864,0.4507325820453466,10,0.09090909090909091,0.125
51,LSTMA,50,50,0.293744100079703,0.012239337503320957,0.005072570738786884,0.024205347041032214,0.004179157639815657,4.461267498193507,0.013316555130187906,9,0.09090909090909091,0.14285714285714285
52,GRU,50,50,12.934998362411823,0.5389582651004926,0.08389122107938327,0.706078496341844,0.34771875294770216,4.566939893622223,0.5155708109428458,16,0.7142857142857143,0.8333333333333334
53,GRUA,50,50,0.9416155889215323,0.039233982871730515,0.013843585141219398,0.0645737297575884,0.016994112631920633,4.490219407256658,0.037192788843282365,14,0.5,0.6666666666666666
54,RNN,50,55,11.564016237883303,0.4818340099118043,0.06258574318471172,0.6054724995200637,0.3328524063639587,4.572526936983165,0.47336188950555824,14,0.2,0.2
55,RNNA,50,55,0.5210725373912367,0.021711355724634864,0.007670064875500577,0.045015751630386534,0.009475889951505752,4.497212500088469,0.02171135572463486,12,0.2,0.25
56,LSTM,50,55,10.102943489275422,0.4209559787198092,0.053386086946911174,0.5153465948298029,0.32413397190239257,4.573205383474633,0.4053004904377734,16,0.7142857142857143,0.8333333333333334
57,LSTMA,50,55,0.4246920683644032,0.0176955028485168,0.008722839552063733,0.032378021141337136,0.006377601593232375,4.399918592059407,0.01634090583181663,14,0.7142857142857143,1.25
58,GRU,50,55,13.008300993661718,0.5420125414025716,0.08697279486225014,0.7332565510037226,0.35643704837602064,4.566067429921132,0.518312364763887,16,0.5,0.5
59,GRUA,50,55,0.8822893537460934,0.03676205640608723,0.011057676427242317,0.05144379825653768,0.01047636366741965,4.511713356099949,0.03595489609292317,13,0.3333333333333333,0.42857142857142855
