Type,min_length,max_length,Run1,Run2,Similarity
RNN-RNN,10,10,9,2,0.7319256943702809
RNN-RNN,10,10,9,3,0.6253506874574469
RNN-RNN,10,10,9,4,0.6811539122579647
RNN-RNN,10,10,9,5,0.825602961154815
RNN-RNN,10,10,9,6,0.49546408492680133
RNN-RNN,10,10,9,7,0.7366201178777143
RNN-RNN,10,10,9,8,0.5822485794713019
RNN-RNN,10,10,9,10,0.678783919798306
RNN-RNN,10,10,9,11,0.5239159877809128
RNN-RNN,10,10,9,12,0.6046405070610995
RNN-RNN,10,10,9,13,0.017678295060603144
RNN-RNN,10,10,9,14,0.5245040154135387
RNN-RNN,10,10,9,15,0.7533130330982523
RNN-RNN,10,10,9,16,0.47213776833225135
RNN-RNN,10,10,9,17,0.6817344154128683
RNN-RNN,10,10,9,18,0.7377372584083054
RNN-RNN,10,10,9,19,0.7290146260402618
RNN-RNN,10,10,9,20,0.7675899330472441
RNN-RNN,10,10,9,21,0.6565045658198052
RNN-RNN,10,10,9,22,0.582661296266201
RNN-RNN,10,10,9,23,0.6286444208978827
RNN-RNN,10,10,9,24,0.7290036869485398
RNN-RNN,10,10,9,25,0.5237773236676985
RNN-RNN,10,10,9,26,0.6786926274919496
RNN-RNN,10,10,9,27,0.7110953027900156
RNN-RNN,10,10,9,28,0.08466009087828656
RNN-RNN,10,10,9,29,0.8127072232341164
RNN-RNN,10,10,9,30,0.5458803566862567
RNN-RNN,10,10,10,0,0.5524158003613249
RNN-RNN,10,10,10,1,0.2811596546039603
RNN-RNN,10,10,10,2,0.6879869809341528
RNN-RNN,10,10,10,3,0.8103515748121551
RNN-RNN,10,10,10,4,0.6374533704817618
RNN-RNN,10,10,10,5,0.6549258075466319
RNN-RNN,10,10,10,6,0.6083397138868204
RNN-RNN,10,10,10,7,0.7067626080249475
RNN-RNN,10,10,10,8,0.6920096264598634
RNN-RNN,10,10,10,9,0.678783919798306
RNN-RNN,10,10,10,11,0.563869991287571
RNN-RNN,10,10,10,12,0.6052509529793461
RNN-RNN,10,10,10,13,0.39491583572979144
RNN-RNN,10,10,10,14,0.6235548920847193
RNN-RNN,10,10,10,15,0.7203519302350393
RNN-RNN,10,10,10,16,0.5765743791666704
RNN-RNN,10,10,10,17,0.8315377136290072
RNN-RNN,10,10,10,18,0.720197079505437
RNN-RNN,10,10,10,19,0.5910906918480403
RNN-RNN,10,10,10,20,0.6967835303069755
RNN-RNN,10,10,10,21,0.7262937187063817
RNN-RNN,10,10,10,22,0.6760578003473066
RNN-RNN,10,10,10,23,0.732867954574812
RNN-RNN,10,10,10,24,0.7376496009638074
RNN-RNN,10,10,10,25,0.7581674223114276
RNN-RNN,10,10,10,26,0.727486776466542
RNN-RNN,10,10,10,27,0.8062787381332676
RNN-RNN,10,10,10,28,0.42703763961106306
RNN-RNN,10,10,10,29,0.7920575060177929
RNN-RNN,10,10,10,30,0.7053987261019573
RNN-RNN,10,10,11,0,0.30099888393226915
RNN-RNN,10,10,11,1,0.37209052555811384
RNN-RNN,10,10,11,2,0.33717553339994993
RNN-RNN,10,10,11,3,0.6171254447304403
RNN-RNN,10,10,11,4,0.6339538696825294
RNN-RNN,10,10,11,5,0.3639389434905883
RNN-RNN,10,10,11,6,0.610576932272556
RNN-RNN,10,10,11,7,0.6697783037043921
RNN-RNN,10,10,11,8,0.7177851813891302
RNN-RNN,10,10,11,9,0.5239159877809128
RNN-RNN,10,10,11,10,0.563869991287571
RNN-RNN,10,10,11,12,0.6312352185188087
RNN-RNN,10,10,11,13,0.3991668672670064
RNN-RNN,10,10,11,14,0.5597902205625774
RNN-RNN,10,10,11,15,0.545881796872206
RNN-RNN,10,10,11,16,0.6346990254269251
RNN-RNN,10,10,11,17,0.5380039237020214
RNN-RNN,10,10,11,18,0.5850640468423784
RNN-RNN,10,10,11,19,0.5608824468981692
RNN-RNN,10,10,11,20,0.4652383597014308
RNN-RNN,10,10,11,21,0.7262173907855233
RNN-RNN,10,10,11,22,0.5925357068345415
RNN-RNN,10,10,11,23,0.6040604317620198
RNN-RNN,10,10,11,24,0.5448484603026894
RNN-RNN,10,10,11,25,0.6336421766924445
RNN-RNN,10,10,11,26,0.4462932966281202
RNN-RNN,10,10,11,27,0.46381776529193536
RNN-RNN,10,10,11,28,0.42605191788854413
RNN-RNN,10,10,11,29,0.5711873766961205
RNN-RNN,10,10,11,30,0.35285814762542134
RNN-RNN,10,10,12,0,0.6492531187663226
RNN-RNN,10,10,12,1,0.4026896778906229
RNN-RNN,10,10,12,2,0.7092686438443924
RNN-RNN,10,10,12,3,0.6310242379465076
RNN-RNN,10,10,12,4,0.8958580482800534
RNN-RNN,10,10,12,5,0.5576889844915434
RNN-RNN,10,10,12,6,0.5751447532361734
RNN-RNN,10,10,12,7,0.7361515737784666
RNN-RNN,10,10,12,8,0.5868673817600347
RNN-RNN,10,10,12,9,0.6046405070610995
